Freq	Type
727	you
591	i
482	a
480	oh
450	that
429	and
416	here
398	there
392	your
385	ew
370	yeah
310	okay
276	be
259	one
254	it
253	all
246	this
245	we
218	no
203	what
187	lie
179	don't
179	in
178	huh
177	the
176	can
176	are
159	see
158	for
153	out
150	lay
143	have
139	say
137	mommy
118	good
117	that's
115	i'm
113	right
111	put
108	of
103	well
98	it'll
97	is
95	go
94	how
92	way
92	to
91	aw
90	where
90	get
90	ah
87	whoa
86	up
79	was
73	“i'll
72	come
72	bunny
71	it's
68	think
68	hi
68	at
66	his
65	uhoh
65	then
63	beep
62	over
61	l
61	eddie
61	there's
60	did
58	eat
58	back
57	not
56	yes
56	own
55	k
54	who
54	if
53	me
53	judy
53	just
53	air
52	add
50	lee
49	may
49	or
48	three
48	so
48	he
48	on
47	nose
47	but
46	what's
45	ann
43	try
43	cookie
43	her
43	end
42	let's
42	juice
41	things
40	bah”
39	where's
39	thing
39	they
38	water
38	jump
38	down
37	ease
36	want
36	hand
34	got
33	car
32	moo
32	more
32	him
31	give
30	honey
30	getting
30	those
30	bees
29	la
29	ball
28	girl
27	she
27	less
27	five
27	these
25	here's
24	yell
24	sell
24	some
24	going
24	fall
23	won't
23	seven
23	ring
23	can't
23	hell
23	bear
22	wet
22	holdup
22	aim
22	any
21	sorry
21	open
21	kit
21	hurt
21	hair
21	do
20	tell
20	six
20	rye
20	nice
20	d
20	though
20	dog
19	wait
19	trying
19	t
19	nine
19	num
19	hold
19	icy
18	old
18	monster
18	cold
18	our
17	gimme
17	eight
16	cup
16	coming
16	eating
16	green
15	smell
15	mama
14	my
14	later
14	lane
14	kisses
14	goes
14	done
14	better
13	wore
13	key
13	guess
13	ought
12	mister
12	mommy's
12	keys
12	icky
12	dakota
12	duck
12	dub
11	use
11	went
11	wanna
11	she's
11	money
11	could
11	crayon
11	who's
11	henry
11	head
11	goodness
11	doing
11	didn't
11	off
10	when
10	shoe
10	need
10	clean
10	keep
10	gonna
10	bad
9	yet
9	ten
9	sure
9	leap
9	cry
9	happened
9	had
9	fell
9	beat
9	bead
9	upstairs
9	adam
8	very
8	tick
8	let
8	he's
8	having
8	ever
8	than
8	bar
7	you'd
7	truck
7	stay
7	sitting
7	should
7	said
7	pudding
7	nope
7	knee
7	night
7	move
7	kick
7	came
7	does
7	animal
6	wheat
6	stir
6	run
6	pump
6	meet
6	cookies
6	ear
6	foot
6	doggie
6	bring
6	brown
6	bears
6	again
5	waiting
5	ubb's
5	tree
5	sit
5	sing
5	silly
5	saw
5	running
5	putting
5	knees
5	moose
5	late
5	covers
5	heat
5	handsome
5	gotta
5	feet
5	find
5	dump
5	duckie
5	before
5	bing
5	bed
5	button
5	buddy
5	ants
4	yeh
4	tail
4	together
4	tummy
4	still
4	shouldn't
4	sore
4	really
4	mall
4	least
4	letter
4	kiss
4	“i'm
4	ho
4	heap
4	happen
4	great
4	feed
4	bray
4	belly
4	bump
4	i've
4	ounce
4	us
4	andy
3	whatever
3	once
3	tickle
3	thinks
3	tom
3	stinky
3	since
3	sill
3	santa
3	oval
3	made
3	messing
3	mess
3	must
3	lady
3	climbed
3	jumped
3	eden
3	whole
3	hit
3	hurting
3	giving
3	fair
3	feather
3	ale
3	door
3	best
3	apple
3	ax
2	wants
2	trees
2	trick
2	tin
2	sticking
2	stick
2	stuck
2	sheep
2	second
2	reading
2	rinse
2	wrinkly
2	ray
2	pear
2	pup
2	onie
2	note
2	near
2	numnum
2	minute
2	might
2	mice
2	light
2	line
2	couldn't
2	coat
2	comb
2	climb
2	cloudy
2	keeps
2	kissed
2	king
2	kid
2	cut
2	cat
2	candy
2	caught
2	ink
2	inning
2	holding
2	hat
2	goofy
2	gold
2	flying
2	flower
2	eyore
2	s
2	dakota's
2	bean
2	bit
2	been
2	bet
2	bought
2	buckle
2	bats
2	aunt
1	uses
1	you've
1	unicycle
1	we'd
1	whale
1	wall
1	wanting
1	tim
1	thistle
1	tear
1	telly
1	tall
1	tuck
1	straight
1	stink
1	stairs
1	sold
1	snow
1	sneezing
1	smooth
1	sees
1	seed
1	sixteen
1	shoes
1	sheet
1	she'd
1	shame
1	seventeen
1	setting
1	set
1	sent
1	sunny
1	sand
1	rear
1	rick
1	reindeer
1	rhyme
1	rubbing
1	puts
1	poor
1	pennies
1	pen
1	puzzle
1	oats
1	opened
1	notice
1	neat
1	needle
1	nickel
1	knick
1	nineteen
1	nononoing
1	none
1	nummy
1	nah
1	mean
1	missy
1	missing
1	messes
1	mary
1	mind
1	monsters
1	monitor
1	mommy'll
1	mom
1	lever
1	letters
1	live
1	loud
1	lot
1	cooking
1	cleaned
1	climbing
1	kitty
1	kissies
1	kinda
1	cane
1	cannot
1	cover
1	cub
1	cancel
1	candle
1	cause
1	cars
1	eats
1	easter
1	itty
1	eleven
1	hope
1	home
1	hiccup
1	hers
1	heard
1	hairie
1	happily
1	handle
1	hadn't
1	grade
1	gray
1	grind
1	goat
1	gets
1	flowers
1	feeding
1	eighteen
1	eyore's
1	aimed
1	aid
1	early
1	entertained
1	n
1	deep
1	they'd
1	deck
1	dead
1	dove
1	brighter
1	beef
1	building
1	build
1	bury
1	bending
1	bus
1	bottle
1	until
1	instead
1	alive
