	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	1	0.46935	0	0.12516	1	0	0	0	0	0	0	0	0	0	0.1341	1	0.3129	0.02086	0.0	0	0	0.09778125	0.15645	0.1043	0	0.00763170731707	0	0	0	0.0	0	0	0.0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0	0	0.0	0.0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'aw',)	0.05215	0	0	0	0	0	0	0	0	0.1043	0.547575	0	0	0	0.0	0	0.3129	0	0	0	0	0.0608416666667	0	0.0149	0	0.391125	0	0	0	0.026075	0	0.00434583333333	0	0	0	0	0	0	0
(u'ax',)	0	0.182525	0.026075	0	0.0434583333333	0.09778125	1	0.0279375	0	0.05215	0.68446875	0	0	0.5215	0.0	0.0279375	0.173833333333	0.391125	0.0	0	0.391125	0.0140403846154	0.0237045454545	0.0200576923077	0.0	0.9778125	0	0.0362152777778	0.09778125	0.018625	0	0.00899137931034	0.0	0	0	0.0	0.67795	0.869166666667	0.0
(u'ay',)	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0	0.0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.0347666666667	0.0912625	0.00802307692308	0.2086	0.05215	0.078225	0.2235	0.15645	0	0	1	1	0.0	0.2086	0.0	0.15645	0.1788	0.05215	0.0	0	0.6258	0.36505	0	0.2086	0	0.1955625	0	0.173833333333	0.06258	0.139066666667	0.3129	0.0298	0.0	0	0.00802307692308	0	0.67795	1	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
