lexical_classes	Type	prop	age
nouns	airplane	0.4140625	14
function_words	all	0.1328125	14
adjectives	all gone	0.8359375	14
nouns	animal	0.2734375	14
function_words	another	0.171875	14
nouns	apple	0.578125	14
nouns	arm	0.3359375	14
adjectives	asleep	0.3125	14
other	aunt	0.3125	14
function_words	away	0.15625	14
other	baa baa	0.5703125	14
other	baby	0.7578125	14
other	babysitter	0.09375	14
other	babysitter's name	0.25	14
function_words	back	0.21875	14
adjectives	bad	0.4375	14
nouns	ball	0.9375	14
nouns	balloon	0.7578125	14
nouns	banana	0.765625	14
other	bath	0.8984375	14
nouns	bathroom	0.578125	14
nouns	bathtub	0.671875	14
nouns	beach	0.1015625	14
nouns	beads	0.1015625	14
nouns	bear	0.4921875	14
nouns	bed	0.65625	14
nouns	bedroom	0.46875	14
nouns	bee	0.1953125	14
nouns	belly button	0.546875	14
nouns	bib	0.484375	14
nouns	bicycle	0.375	14
adjectives	big	0.328125	14
nouns	bird	0.671875	14
verbs	bite	0.5859375	14
nouns	blanket	0.6015625	14
nouns	block	0.4375	14
verbs	blow	0.5078125	14
adjectives	blue	0.0546875	14
nouns	book	0.859375	14
nouns	boots	0.109375	14
nouns	bottle	0.765625	14
nouns	bowl	0.359375	14
nouns	box	0.3203125	14
other	boy	0.2578125	14
nouns	bread	0.5546875	14
verbs	break	0.1171875	14
other	breakfast	0.515625	14
verbs	bring	0.625	14
adjectives	broken	0.171875	14
nouns	broom	0.34375	14
other	brother	0.3203125	14
nouns	brush	0.6171875	14
nouns	bubbles	0.46875	14
nouns	bug	0.2734375	14
verbs	bump	0.2109375	14
nouns	bunny	0.515625	14
nouns	bus	0.2265625	14
nouns	butter	0.1171875	14
nouns	butterfly	0.2578125	14
nouns	button	0.25	14
other	bye	0.9296875	14
nouns	cake	0.2265625	14
nouns	candy	0.2578125	14
nouns	car	0.8203125	14
adjectives	careful	0.5390625	14
nouns	carrots	0.3671875	14
nouns	cat	0.6875	14
nouns	cereal	0.4921875	14
nouns	chair	0.6328125	14
nouns	cheek	0.1953125	14
nouns	cheerios	0.6015625	14
nouns	cheese	0.6171875	14
nouns	chicken (animal)	0.3203125	14
nouns	chicken (food)	0.3359375	14
other	child	0.0546875	14
other	child's own name	0.8515625	14
other	choo choo	0.328125	14
nouns	church	0.15625	14
verbs	clean (action)	0.3046875	14
adjectives	clean (description)	0.25	14
nouns	clock	0.1953125	14
verbs	close	0.46875	14
nouns	coat	0.296875	14
other	cockadoodledoo	0.25	14
nouns	coffee	0.109375	14
adjectives	cold	0.421875	14
nouns	comb	0.359375	14
nouns	cookie	0.703125	14
nouns	couch	0.4140625	14
nouns	cow	0.40625	14
nouns	cracker	0.6953125	14
nouns	crib	0.5625	14
verbs	cry	0.5390625	14
nouns	cup	0.75	14
adjectives	cute	0.1953125	14
other	daddy	0.9453125	14
verbs	dance	0.6953125	14
adjectives	dark	0.125	14
other	day	0.0859375	14
nouns	deer	0.15625	14
nouns	diaper	0.8203125	14
other	dinner	0.4375	14
adjectives	dirty	0.4375	14
nouns	dish	0.25	14
nouns	dog	0.875	14
nouns	doll	0.515625	14
other	don't	0.6875	14
nouns	donkey	0.1015625	14
nouns	door	0.7265625	14
function_words	down	0.6328125	14
verbs	draw	0.140625	14
nouns	drawer	0.234375	14
nouns	dress (object)	0.21875	14
verbs	drink (action)	0.7734375	14
nouns	drink (beverage)	0.6484375	14
verbs	drive	0.25	14
adjectives	dry (description)	0.1171875	14
nouns	duck	0.5234375	14
nouns	ear	0.59375	14
verbs	eat	0.7421875	14
nouns	egg	0.3515625	14
nouns	elephant	0.203125	14
adjectives	empty	0.328125	14
nouns	eye	0.6953125	14
nouns	face	0.34375	14
verbs	fall	0.359375	14
adjectives	fast	0.1328125	14
verbs	feed	0.2734375	14
adjectives	fine	0.015625	14
nouns	finger	0.4453125	14
verbs	finish	0.1875	14
nouns	firetruck	0.1875	14
nouns	fish (animal)	0.4609375	14
nouns	fish (food)	0.203125	14
nouns	flower	0.4453125	14
nouns	food	0.453125	14
nouns	foot	0.6640625	14
nouns	fork	0.3125	14
nouns	frog	0.2734375	14
nouns	garage	0.1484375	14
nouns	garden	0.09375	14
adjectives	gentle	0.375	14
verbs	get	0.59375	14
nouns	giraffe	0.1328125	14
other	girl	0.21875	14
verbs	give	0.6953125	14
nouns	glass	0.34375	14
nouns	glasses	0.4296875	14
verbs	go	0.703125	14
adjectives	good	0.5625	14
other	night night	0.7578125	14
nouns	goose	0.109375	14
other	grandma	0.6953125	14
other	grandpa	0.5546875	14
other	grrr	0.53125	14
nouns	hair	0.6171875	14
nouns	hammer	0.140625	14
nouns	hand	0.5390625	14
adjectives	happy	0.375	14
adjectives	hard	0.0703125	14
nouns	hat	0.59375	14
nouns	head	0.4453125	14
other	hello	0.625	14
verbs	help	0.296875	14
function_words	her	0.1484375	14
other	hi	0.78125	14
nouns	high chair	0.59375	14
function_words	his	0.125	14
verbs	hit	0.4140625	14
nouns	home	0.4140625	14
nouns	horse	0.4609375	14
adjectives	hot	0.625	14
nouns	house	0.3671875	14
function_words	how	0.078125	14
verbs	hug	0.71875	14
adjectives	hungry	0.4375	14
verbs	hurry	0.2109375	14
adjectives	hurt	0.2890625	14
function_words	i	0.1484375	14
nouns	ice cream	0.40625	14
function_words	in	0.3671875	14
function_words	inside	0.3046875	14
function_words	it	0.1796875	14
nouns	jacket	0.28125	14
nouns	jeans	0.0703125	14
nouns	juice	0.7265625	14
verbs	jump	0.2734375	14
nouns	keys	0.7421875	14
verbs	kick	0.28125	14
verbs	kiss	0.8125	14
nouns	kitchen	0.5	14
nouns	kitty	0.7109375	14
nouns	knee	0.1484375	14
other	lady	0.1328125	14
nouns	lamb	0.2265625	14
nouns	lamp	0.171875	14
other	later	0.0390625	14
nouns	leg	0.265625	14
nouns	light	0.4765625	14
nouns	lion	0.2265625	14
adjectives	little (description)	0.1640625	14
nouns	living room	0.2578125	14
verbs	look	0.703125	14
verbs	love	0.4140625	14
other	lunch	0.453125	14
other	man	0.1484375	14
function_words	me	0.2734375	14
nouns	meat	0.28125	14
nouns	medicine	0.265625	14
other	meow	0.625	14
nouns	milk	0.734375	14
function_words	mine	0.34375	14
other	mommy	0.953125	14
nouns	money	0.1875	14
nouns	monkey	0.296875	14
other	moo	0.5	14
nouns	moon	0.140625	14
function_words	more	0.5859375	14
other	morning	0.09375	14
nouns	motorcycle	0.1640625	14
nouns	mouse	0.21875	14
nouns	mouth	0.6796875	14
function_words	my	0.1484375	14
other	nap	0.6015625	14
adjectives	naughty	0.125	14
nouns	necklace	0.125	14
adjectives	nice	0.3671875	14
other	night	0.203125	14
other	no	0.921875	14
function_words	none	0.109375	14
nouns	nose	0.7734375	14
function_words	not	0.109375	14
other	now	0.171875	14
function_words	off	0.4296875	14
adjectives	old	0.015625	14
function_words	on	0.390625	14
verbs	open	0.5625	14
nouns	orange (food)	0.3359375	14
function_words	other	0.078125	14
other	ouch	0.609375	14
function_words	out	0.4375	14
nouns	outside	0.796875	14
nouns	oven	0.2265625	14
nouns	owie/boo boo	0.375	14
nouns	owl	0.1484375	14
nouns	pajamas	0.4609375	14
nouns	pants	0.3828125	14
nouns	paper	0.25	14
nouns	park	0.2421875	14
nouns	party	0.0859375	14
nouns	noodles, spaghetti	0.359375	14
other	pattycake	0.6796875	14
nouns	peas	0.296875	14
other	peekaboo	0.8828125	14
nouns	pen	0.3046875	14
nouns	penguin	0.078125	14
nouns	penny	0.1328125	14
other	people	0.109375	14
other	person	0.0703125	14
nouns	picture	0.3203125	14
nouns	pig	0.3828125	14
nouns	pillow	0.375	14
nouns	pizza	0.2578125	14
nouns	plant	0.296875	14
nouns	plate	0.28125	14
verbs	play	0.515625	14
nouns	play pen	0.21875	14
other	please	0.4140625	14
nouns	pony	0.109375	14
nouns	pool	0.3828125	14
nouns	potty	0.21875	14
adjectives	pretty	0.3046875	14
verbs	pull	0.234375	14
nouns	puppy	0.4609375	14
nouns	purse	0.265625	14
verbs	push	0.34375	14
verbs	put	0.3671875	14
other	quack quack	0.5234375	14
nouns	radio	0.3125	14
nouns	rain	0.2578125	14
nouns	raisin	0.25	14
verbs	read	0.453125	14
adjectives	red	0.0390625	14
nouns	refrigerator	0.4140625	14
verbs	ride	0.4296875	14
nouns	rock	0.296875	14
nouns	rocking chair	0.203125	14
verbs	run	0.2890625	14
function_words	same	0.0234375	14
verbs	say	0.296875	14
adjectives	scared	0.078125	14
nouns	school	0.140625	14
nouns	scissors	0.1015625	14
verbs	see	0.4765625	14
nouns	sheep	0.234375	14
other	shh/shush/hush	0.59375	14
nouns	shirt	0.4765625	14
nouns	shoe	0.8671875	14
nouns	shorts	0.2421875	14
nouns	shovel	0.125	14
verbs	show	0.3671875	14
adjectives	sick	0.0703125	14
verbs	sing	0.421875	14
nouns	sink	0.171875	14
other	sister	0.265625	14
nouns	sky	0.125	14
verbs	sleep	0.53125	14
adjectives	sleepy	0.46875	14
nouns	slide (object)	0.2890625	14
verbs	smile	0.421875	14
nouns	snow	0.0546875	14
nouns	soap	0.2890625	14
nouns	sock	0.71875	14
adjectives	soft	0.2109375	14
function_words	some	0.21875	14
verbs	splash	0.4921875	14
nouns	spoon	0.5859375	14
nouns	squirrel	0.171875	14
nouns	stairs	0.484375	14
nouns	star	0.0859375	14
verbs	stop	0.5859375	14
nouns	store	0.25	14
nouns	stove	0.1953125	14
nouns	stroller	0.6015625	14
nouns	sun	0.1875	14
nouns	sweater	0.21875	14
verbs	swim	0.1640625	14
verbs	swing (action)	0.3203125	14
nouns	swing (object)	0.375	14
nouns	table	0.453125	14
verbs	take	0.28125	14
other	teacher	0.0625	14
nouns	teddybear	0.59375	14
nouns	telephone	0.6875	14
other	thank you	0.625	14
function_words	that	0.2890625	14
function_words	there	0.2734375	14
adjectives	thirsty	0.3984375	14
function_words	this	0.296875	14
verbs	throw	0.5625	14
verbs	tickle	0.4921875	14
nouns	tiger	0.1875	14
adjectives	tired	0.3828125	14
nouns	toast	0.3203125	14
other	today	0.0390625	14
nouns	toe	0.5234375	14
other	tomorrow	0.03125	14
nouns	tongue	0.328125	14
other	tonight	0.0625	14
nouns	tooth	0.3984375	14
nouns	toothbrush	0.6015625	14
verbs	touch	0.421875	14
nouns	towel	0.3125	14
nouns	toy (object)	0.625	14
nouns	train	0.28125	14
nouns	trash	0.2734375	14
nouns	tree	0.4140625	14
nouns	truck	0.3828125	14
nouns	tummy	0.5859375	14
nouns	turkey	0.0546875	14
nouns	turtle	0.1640625	14
nouns	tv	0.6015625	14
other	uh oh	0.765625	14
other	uncle	0.2421875	14
function_words	under	0.234375	14
function_words	up	0.6015625	14
nouns	vacuum	0.4375	14
other	vroom	0.4609375	14
other	wait	0.375	14
verbs	walk	0.546875	14
other	wanna/want to	0.34375	14
verbs	wash	0.4765625	14
verbs	watch (action)	0.3515625	14
nouns	watch (object)	0.265625	14
nouns	water (beverage)	0.671875	14
nouns	water (not beverage)	0.59375	14
adjectives	wet	0.3515625	14
function_words	what	0.328125	14
function_words	when	0.0234375	14
function_words	where	0.4453125	14
function_words	who	0.2265625	14
function_words	why	0.0703125	14
nouns	window	0.53125	14
verbs	wipe	0.3203125	14
other	woof woof	0.7109375	14
nouns	work (place)	0.1796875	14
verbs	write	0.109375	14
nouns	backyard	0.328125	14
other	yes	0.765625	14
function_words	you	0.359375	14
function_words	your	0.1796875	14
adjectives	yucky	0.53125	14
other	yum yum	0.6171875	14
nouns	zipper	0.15625	14
nouns	zoo	0.078125	14
