lexical_classes	Type	prop	age
nouns	airplane	0.825	17
function_words	all	0.125	17
adjectives	all gone	0.9	17
nouns	animal	0.425	17
function_words	another	0.2625	17
nouns	apple	0.8	17
nouns	arm	0.575	17
adjectives	asleep	0.4625	17
other	aunt	0.3	17
function_words	away	0.225	17
other	baa baa	0.6875	17
other	baby	0.9125	17
other	babysitter	0.075	17
other	babysitter's name	0.2625	17
function_words	back	0.3375	17
adjectives	bad	0.2625	17
nouns	ball	0.9875	17
nouns	balloon	0.925	17
nouns	banana	0.875	17
other	bath	0.95	17
nouns	bathroom	0.775	17
nouns	bathtub	0.8625	17
nouns	beach	0.0625	17
nouns	beads	0.1625	17
nouns	bear	0.6375	17
nouns	bed	0.775	17
nouns	bedroom	0.6125	17
nouns	bee	0.4375	17
nouns	belly button	0.8625	17
nouns	bib	0.6625	17
nouns	bicycle	0.6375	17
adjectives	big	0.3375	17
nouns	bird	0.8125	17
verbs	bite	0.7125	17
nouns	blanket	0.85	17
nouns	block	0.725	17
verbs	blow	0.8125	17
adjectives	blue	0.1	17
nouns	book	0.975	17
nouns	boots	0.4625	17
nouns	bottle	0.8375	17
nouns	bowl	0.625	17
nouns	box	0.5375	17
other	boy	0.225	17
nouns	bread	0.6125	17
verbs	break	0.2	17
other	breakfast	0.75	17
verbs	bring	0.7625	17
adjectives	broken	0.25	17
nouns	broom	0.6	17
other	brother	0.325	17
nouns	brush	0.825	17
nouns	bubbles	0.7	17
nouns	bug	0.4125	17
verbs	bump	0.325	17
nouns	bunny	0.6875	17
nouns	bus	0.5625	17
nouns	butter	0.2375	17
nouns	butterfly	0.3625	17
nouns	button	0.5	17
other	bye	0.9875	17
nouns	cake	0.3875	17
nouns	candy	0.35	17
nouns	car	0.8875	17
adjectives	careful	0.6	17
nouns	carrots	0.425	17
nouns	cat	0.8375	17
nouns	cereal	0.7	17
nouns	chair	0.825	17
nouns	cheek	0.3375	17
nouns	cheerios	0.725	17
nouns	cheese	0.8375	17
nouns	chicken (animal)	0.4625	17
nouns	chicken (food)	0.3	17
other	child	0.1	17
other	child's own name	0.975	17
other	choo choo	0.6	17
nouns	church	0.15	17
verbs	clean (action)	0.4875	17
adjectives	clean (description)	0.3625	17
nouns	clock	0.375	17
verbs	close	0.6625	17
nouns	coat	0.7	17
other	cockadoodledoo	0.45	17
nouns	coffee	0.275	17
adjectives	cold	0.5875	17
nouns	comb	0.5	17
nouns	cookie	0.8125	17
nouns	couch	0.7	17
nouns	cow	0.775	17
nouns	cracker	0.9125	17
nouns	crib	0.6375	17
verbs	cry	0.5875	17
nouns	cup	0.9	17
adjectives	cute	0.2125	17
other	daddy	0.975	17
verbs	dance	0.8875	17
adjectives	dark	0.125	17
other	day	0.0875	17
nouns	deer	0.2375	17
nouns	diaper	0.9625	17
other	dinner	0.625	17
adjectives	dirty	0.525	17
nouns	dish	0.275	17
nouns	dog	0.9375	17
nouns	doll	0.6125	17
other	don't	0.7375	17
nouns	donkey	0.2375	17
nouns	door	0.8125	17
function_words	down	0.7	17
verbs	draw	0.3625	17
nouns	drawer	0.3625	17
nouns	dress (object)	0.3125	17
verbs	drink (action)	0.875	17
nouns	drink (beverage)	0.75	17
verbs	drive	0.475	17
adjectives	dry (description)	0.2	17
nouns	duck	0.85	17
nouns	ear	0.8375	17
verbs	eat	0.875	17
nouns	egg	0.425	17
nouns	elephant	0.475	17
adjectives	empty	0.3875	17
nouns	eye	0.9375	17
nouns	face	0.5	17
verbs	fall	0.5	17
adjectives	fast	0.225	17
verbs	feed	0.3	17
adjectives	fine	0.025	17
nouns	finger	0.7	17
verbs	finish	0.2125	17
nouns	firetruck	0.4	17
nouns	fish (animal)	0.7125	17
nouns	fish (food)	0.2875	17
nouns	flower	0.725	17
nouns	food	0.6	17
nouns	foot	0.9	17
nouns	fork	0.6125	17
nouns	frog	0.5125	17
nouns	garage	0.275	17
nouns	garden	0.1375	17
adjectives	gentle	0.5	17
verbs	get	0.7375	17
nouns	giraffe	0.25	17
other	girl	0.225	17
verbs	give	0.825	17
nouns	glass	0.2625	17
nouns	glasses	0.5375	17
verbs	go	0.825	17
adjectives	good	0.5	17
other	night night	0.8875	17
nouns	goose	0.2625	17
other	grandma	0.7625	17
other	grandpa	0.625	17
other	grrr	0.725	17
nouns	hair	0.9	17
nouns	hammer	0.2625	17
nouns	hand	0.7875	17
adjectives	happy	0.3875	17
adjectives	hard	0.0625	17
nouns	hat	0.7875	17
nouns	head	0.7	17
other	hello	0.7	17
verbs	help	0.45	17
function_words	her	0.1	17
other	hi	0.8875	17
nouns	high chair	0.8625	17
function_words	his	0.1125	17
verbs	hit	0.575	17
nouns	home	0.625	17
nouns	horse	0.65	17
adjectives	hot	0.925	17
nouns	house	0.4375	17
function_words	how	0.075	17
verbs	hug	0.8875	17
adjectives	hungry	0.6625	17
verbs	hurry	0.2	17
adjectives	hurt	0.375	17
function_words	i	0.225	17
nouns	ice cream	0.5125	17
function_words	in	0.5625	17
function_words	inside	0.5	17
function_words	it	0.2125	17
nouns	jacket	0.55	17
nouns	jeans	0.1375	17
nouns	juice	0.8375	17
verbs	jump	0.5375	17
nouns	keys	0.9	17
verbs	kick	0.5375	17
verbs	kiss	0.9625	17
nouns	kitchen	0.7875	17
nouns	kitty	0.8375	17
nouns	knee	0.425	17
other	lady	0.1	17
nouns	lamb	0.2875	17
nouns	lamp	0.2375	17
other	later	0.125	17
nouns	leg	0.525	17
nouns	light	0.725	17
nouns	lion	0.4	17
adjectives	little (description)	0.175	17
nouns	living room	0.3375	17
verbs	look	0.725	17
verbs	love	0.5625	17
other	lunch	0.6875	17
other	man	0.15	17
function_words	me	0.4625	17
nouns	meat	0.2375	17
nouns	medicine	0.45	17
other	meow	0.8	17
nouns	milk	0.925	17
function_words	mine	0.5125	17
other	mommy	0.9875	17
nouns	money	0.25	17
nouns	monkey	0.5125	17
other	moo	0.775	17
nouns	moon	0.4875	17
function_words	more	0.7875	17
other	morning	0.15	17
nouns	motorcycle	0.3125	17
nouns	mouse	0.4375	17
nouns	mouth	0.85	17
function_words	my	0.2625	17
other	nap	0.85	17
adjectives	naughty	0.0625	17
nouns	necklace	0.275	17
adjectives	nice	0.325	17
other	night	0.25	17
other	no	0.9625	17
function_words	none	0.125	17
nouns	nose	0.9625	17
function_words	not	0.1375	17
other	now	0.2375	17
function_words	off	0.7375	17
adjectives	old	0.0	17
function_words	on	0.675	17
verbs	open	0.7625	17
nouns	orange (food)	0.3375	17
function_words	other	0.125	17
other	ouch	0.75	17
function_words	out	0.65	17
nouns	outside	0.85	17
nouns	oven	0.3875	17
nouns	owie/boo boo	0.7125	17
nouns	owl	0.3625	17
nouns	pajamas	0.7625	17
nouns	pants	0.675	17
nouns	paper	0.5125	17
nouns	park	0.5	17
nouns	party	0.0375	17
nouns	noodles, spaghetti	0.55	17
other	pattycake	0.6625	17
nouns	peas	0.4875	17
other	peekaboo	0.9625	17
nouns	pen	0.5625	17
nouns	penguin	0.1875	17
nouns	penny	0.0875	17
other	people	0.2	17
other	person	0.075	17
nouns	picture	0.5625	17
nouns	pig	0.6875	17
nouns	pillow	0.6625	17
nouns	pizza	0.4875	17
nouns	plant	0.3	17
nouns	plate	0.575	17
verbs	play	0.625	17
nouns	play pen	0.15	17
other	please	0.6125	17
nouns	pony	0.225	17
nouns	pool	0.25	17
nouns	potty	0.4625	17
adjectives	pretty	0.3375	17
verbs	pull	0.3625	17
nouns	puppy	0.7375	17
nouns	purse	0.45	17
verbs	push	0.5375	17
verbs	put	0.375	17
other	quack quack	0.7875	17
nouns	radio	0.275	17
nouns	rain	0.4625	17
nouns	raisin	0.425	17
verbs	read	0.7625	17
adjectives	red	0.075	17
nouns	refrigerator	0.7	17
verbs	ride	0.5375	17
nouns	rock	0.5125	17
nouns	rocking chair	0.475	17
verbs	run	0.6	17
function_words	same	0.0125	17
verbs	say	0.45	17
adjectives	scared	0.0625	17
nouns	school	0.25	17
nouns	scissors	0.175	17
verbs	see	0.5625	17
nouns	sheep	0.375	17
other	shh/shush/hush	0.6875	17
nouns	shirt	0.675	17
nouns	shoe	0.9625	17
nouns	shorts	0.2	17
nouns	shovel	0.1875	17
verbs	show	0.5125	17
adjectives	sick	0.1	17
verbs	sing	0.5625	17
nouns	sink	0.4125	17
other	sister	0.25	17
nouns	sky	0.3	17
verbs	sleep	0.6875	17
adjectives	sleepy	0.55	17
nouns	slide (object)	0.675	17
verbs	smile	0.4	17
nouns	snow	0.05	17
nouns	soap	0.5125	17
nouns	sock	0.925	17
adjectives	soft	0.4	17
function_words	some	0.2	17
verbs	splash	0.6875	17
nouns	spoon	0.85	17
nouns	squirrel	0.3125	17
nouns	stairs	0.6	17
nouns	star	0.3375	17
verbs	stop	0.7125	17
nouns	store	0.5	17
nouns	stove	0.2375	17
nouns	stroller	0.8375	17
nouns	sun	0.3125	17
nouns	sweater	0.2125	17
verbs	swim	0.2625	17
verbs	swing (action)	0.6	17
nouns	swing (object)	0.6	17
nouns	table	0.65	17
verbs	take	0.3625	17
other	teacher	0.05	17
nouns	teddybear	0.75	17
nouns	telephone	0.9	17
other	thank you	0.675	17
function_words	that	0.35	17
function_words	there	0.3875	17
adjectives	thirsty	0.525	17
function_words	this	0.2875	17
verbs	throw	0.9125	17
verbs	tickle	0.7	17
nouns	tiger	0.3375	17
adjectives	tired	0.4125	17
nouns	toast	0.5375	17
other	today	0.025	17
nouns	toe	0.7625	17
other	tomorrow	0.0125	17
nouns	tongue	0.6375	17
other	tonight	0.025	17
nouns	tooth	0.7	17
nouns	toothbrush	0.8625	17
verbs	touch	0.6375	17
nouns	towel	0.5875	17
nouns	toy (object)	0.7625	17
nouns	train	0.55	17
nouns	trash	0.5	17
nouns	tree	0.6	17
nouns	truck	0.7875	17
nouns	tummy	0.8625	17
nouns	turkey	0.175	17
nouns	turtle	0.3125	17
nouns	tv	0.7375	17
other	uh oh	0.9125	17
other	uncle	0.25	17
function_words	under	0.4125	17
function_words	up	0.7	17
nouns	vacuum	0.6	17
other	vroom	0.75	17
other	wait	0.4875	17
verbs	walk	0.7125	17
other	wanna/want to	0.425	17
verbs	wash	0.6625	17
verbs	watch (action)	0.3	17
nouns	watch (object)	0.2875	17
nouns	water (beverage)	0.7875	17
nouns	water (not beverage)	0.7875	17
adjectives	wet	0.5	17
function_words	what	0.3875	17
function_words	when	0.0125	17
function_words	where	0.5875	17
function_words	who	0.3375	17
function_words	why	0.0625	17
nouns	window	0.6625	17
verbs	wipe	0.4875	17
other	woof woof	0.85	17
nouns	work (place)	0.35	17
verbs	write	0.2375	17
nouns	backyard	0.3625	17
other	yes	0.9	17
function_words	you	0.4625	17
function_words	your	0.2875	17
adjectives	yucky	0.6875	17
other	yum yum	0.7625	17
nouns	zipper	0.3125	17
nouns	zoo	0.15	17
