lexical_classes	Type	prop	age
nouns	airplane	0.232142857143	12
function_words	all	0.0416666666667	12
adjectives	all gone	0.690476190476	12
nouns	animal	0.10119047619	12
function_words	another	0.0595238095238	12
nouns	apple	0.166666666667	12
nouns	arm	0.113095238095	12
adjectives	asleep	0.125	12
other	aunt	0.154761904762	12
function_words	away	0.0714285714286	12
other	baa baa	0.482142857143	12
other	baby	0.595238095238	12
other	babysitter	0.0654761904762	12
other	babysitter's name	0.238095238095	12
function_words	back	0.0654761904762	12
adjectives	bad	0.267857142857	12
nouns	ball	0.791666666667	12
nouns	balloon	0.482142857143	12
nouns	banana	0.517857142857	12
other	bath	0.75	12
nouns	bathroom	0.285714285714	12
nouns	bathtub	0.535714285714	12
nouns	beach	0.0178571428571	12
nouns	beads	0.0357142857143	12
nouns	bear	0.25	12
nouns	bed	0.380952380952	12
nouns	bedroom	0.172619047619	12
nouns	bee	0.0654761904762	12
nouns	belly button	0.220238095238	12
nouns	bib	0.261904761905	12
nouns	bicycle	0.107142857143	12
adjectives	big	0.119047619048	12
nouns	bird	0.39880952381	12
verbs	bite	0.375	12
nouns	blanket	0.416666666667	12
nouns	block	0.327380952381	12
verbs	blow	0.238095238095	12
adjectives	blue	0.0178571428571	12
nouns	book	0.702380952381	12
nouns	boots	0.0119047619048	12
nouns	bottle	0.755952380952	12
nouns	bowl	0.130952380952	12
nouns	box	0.10119047619	12
other	boy	0.047619047619	12
nouns	bread	0.238095238095	12
verbs	break	0.00595238095238	12
other	breakfast	0.333333333333	12
verbs	bring	0.392857142857	12
adjectives	broken	0.0416666666667	12
nouns	broom	0.142857142857	12
other	brother	0.232142857143	12
nouns	brush	0.327380952381	12
nouns	bubbles	0.27380952381	12
nouns	bug	0.077380952381	12
verbs	bump	0.0654761904762	12
nouns	bunny	0.309523809524	12
nouns	bus	0.0714285714286	12
nouns	butter	0.00595238095238	12
nouns	butterfly	0.0595238095238	12
nouns	button	0.160714285714	12
other	bye	0.940476190476	12
nouns	cake	0.0892857142857	12
nouns	candy	0.047619047619	12
nouns	car	0.541666666667	12
adjectives	careful	0.303571428571	12
nouns	carrots	0.136904761905	12
nouns	cat	0.464285714286	12
nouns	cereal	0.321428571429	12
nouns	chair	0.261904761905	12
nouns	cheek	0.0416666666667	12
nouns	cheerios	0.428571428571	12
nouns	cheese	0.363095238095	12
nouns	chicken (animal)	0.10119047619	12
nouns	chicken (food)	0.125	12
other	child	0.047619047619	12
other	child's own name	0.797619047619	12
other	choo choo	0.208333333333	12
nouns	church	0.077380952381	12
verbs	clean (action)	0.119047619048	12
adjectives	clean (description)	0.113095238095	12
nouns	clock	0.0833333333333	12
verbs	close	0.267857142857	12
nouns	coat	0.113095238095	12
other	cockadoodledoo	0.0714285714286	12
nouns	coffee	0.0119047619048	12
adjectives	cold	0.0952380952381	12
nouns	comb	0.214285714286	12
nouns	cookie	0.464285714286	12
nouns	couch	0.142857142857	12
nouns	cow	0.172619047619	12
nouns	cracker	0.47619047619	12
nouns	crib	0.285714285714	12
verbs	cry	0.244047619048	12
nouns	cup	0.589285714286	12
adjectives	cute	0.107142857143	12
other	daddy	0.946428571429	12
verbs	dance	0.511904761905	12
adjectives	dark	0.0119047619048	12
other	day	0.0	12
nouns	deer	0.0119047619048	12
nouns	diaper	0.684523809524	12
other	dinner	0.285714285714	12
adjectives	dirty	0.184523809524	12
nouns	dish	0.0952380952381	12
nouns	dog	0.678571428571	12
nouns	doll	0.291666666667	12
other	don't	0.505952380952	12
nouns	donkey	0.0357142857143	12
nouns	door	0.458333333333	12
function_words	down	0.386904761905	12
verbs	draw	0.0357142857143	12
nouns	drawer	0.0892857142857	12
nouns	dress (object)	0.0892857142857	12
verbs	drink (action)	0.577380952381	12
nouns	drink (beverage)	0.440476190476	12
verbs	drive	0.0892857142857	12
adjectives	dry (description)	0.0297619047619	12
nouns	duck	0.333333333333	12
nouns	ear	0.232142857143	12
verbs	eat	0.613095238095	12
nouns	egg	0.0952380952381	12
nouns	elephant	0.077380952381	12
adjectives	empty	0.14880952381	12
nouns	eye	0.363095238095	12
nouns	face	0.160714285714	12
verbs	fall	0.0654761904762	12
adjectives	fast	0.0178571428571	12
verbs	feed	0.0892857142857	12
adjectives	fine	0.0	12
nouns	finger	0.220238095238	12
verbs	finish	0.0833333333333	12
nouns	firetruck	0.0714285714286	12
nouns	fish (animal)	0.220238095238	12
nouns	fish (food)	0.047619047619	12
nouns	flower	0.25	12
nouns	food	0.238095238095	12
nouns	foot	0.416666666667	12
nouns	fork	0.107142857143	12
nouns	frog	0.0714285714286	12
nouns	garage	0.0535714285714	12
nouns	garden	0.0357142857143	12
adjectives	gentle	0.238095238095	12
verbs	get	0.339285714286	12
nouns	giraffe	0.0238095238095	12
other	girl	0.0535714285714	12
verbs	give	0.47619047619	12
nouns	glass	0.113095238095	12
nouns	glasses	0.27380952381	12
verbs	go	0.386904761905	12
adjectives	good	0.309523809524	12
other	night night	0.696428571429	12
nouns	goose	0.0297619047619	12
other	grandma	0.589285714286	12
other	grandpa	0.446428571429	12
other	grrr	0.321428571429	12
nouns	hair	0.39880952381	12
nouns	hammer	0.0654761904762	12
nouns	hand	0.297619047619	12
adjectives	happy	0.125	12
adjectives	hard	0.00595238095238	12
nouns	hat	0.303571428571	12
nouns	head	0.14880952381	12
other	hello	0.428571428571	12
verbs	help	0.0595238095238	12
function_words	her	0.0119047619048	12
other	hi	0.767857142857	12
nouns	high chair	0.357142857143	12
function_words	his	0.00595238095238	12
verbs	hit	0.14880952381	12
nouns	home	0.303571428571	12
nouns	horse	0.160714285714	12
adjectives	hot	0.315476190476	12
nouns	house	0.130952380952	12
function_words	how	0.0238095238095	12
verbs	hug	0.583333333333	12
adjectives	hungry	0.315476190476	12
verbs	hurry	0.047619047619	12
