lexical_classes	Type	prop	age
nouns	airplane	0.19387755102	11
function_words	all	0.0714285714286	11
adjectives	all gone	0.612244897959	11
nouns	animal	0.112244897959	11
function_words	another	0.0714285714286	11
nouns	apple	0.234693877551	11
nouns	arm	0.0918367346939	11
adjectives	asleep	0.0918367346939	11
other	aunt	0.224489795918	11
function_words	away	0.0918367346939	11
other	baa baa	0.448979591837	11
other	baby	0.520408163265	11
other	babysitter	0.112244897959	11
other	babysitter's name	0.163265306122	11
function_words	back	0.0816326530612	11
adjectives	bad	0.224489795918	11
nouns	ball	0.724489795918	11
nouns	balloon	0.408163265306	11
nouns	banana	0.448979591837	11
other	bath	0.714285714286	11
nouns	bathroom	0.244897959184	11
nouns	bathtub	0.459183673469	11
nouns	beach	0.0510204081633	11
nouns	beads	0.0510204081633	11
nouns	bear	0.224489795918	11
nouns	bed	0.224489795918	11
nouns	bedroom	0.163265306122	11
nouns	bee	0.0612244897959	11
nouns	belly button	0.163265306122	11
nouns	bib	0.255102040816	11
nouns	bicycle	0.15306122449	11
adjectives	big	0.132653061224	11
nouns	bird	0.387755102041	11
verbs	bite	0.326530612245	11
nouns	blanket	0.316326530612	11
nouns	block	0.244897959184	11
verbs	blow	0.15306122449	11
adjectives	blue	0.0408163265306	11
nouns	book	0.663265306122	11
nouns	boots	0.030612244898	11
nouns	bottle	0.734693877551	11
nouns	bowl	0.15306122449	11
nouns	box	0.102040816327	11
other	boy	0.0612244897959	11
nouns	bread	0.19387755102	11
verbs	break	0.0510204081633	11
other	breakfast	0.326530612245	11
verbs	bring	0.183673469388	11
adjectives	broken	0.0408163265306	11
nouns	broom	0.0816326530612	11
other	brother	0.316326530612	11
nouns	brush	0.19387755102	11
nouns	bubbles	0.214285714286	11
nouns	bug	0.0714285714286	11
verbs	bump	0.0816326530612	11
nouns	bunny	0.30612244898	11
nouns	bus	0.15306122449	11
nouns	butter	0.0204081632653	11
nouns	butterfly	0.0612244897959	11
nouns	button	0.15306122449	11
other	bye	0.887755102041	11
nouns	cake	0.030612244898	11
nouns	candy	0.0714285714286	11
nouns	car	0.530612244898	11
adjectives	careful	0.255102040816	11
nouns	carrots	0.142857142857	11
nouns	cat	0.459183673469	11
nouns	cereal	0.255102040816	11
nouns	chair	0.19387755102	11
nouns	cheek	0.0714285714286	11
nouns	cheerios	0.530612244898	11
nouns	cheese	0.295918367347	11
nouns	chicken (animal)	0.0714285714286	11
nouns	chicken (food)	0.112244897959	11
other	child	0.0918367346939	11
other	child's own name	0.80612244898	11
other	choo choo	0.15306122449	11
nouns	church	0.0510204081633	11
verbs	clean (action)	0.122448979592	11
adjectives	clean (description)	0.0918367346939	11
nouns	clock	0.0918367346939	11
verbs	close	0.204081632653	11
nouns	coat	0.0714285714286	11
other	cockadoodledoo	0.102040816327	11
nouns	coffee	0.0612244897959	11
adjectives	cold	0.112244897959	11
nouns	comb	0.173469387755	11
nouns	cookie	0.459183673469	11
nouns	couch	0.19387755102	11
nouns	cow	0.183673469388	11
nouns	cracker	0.459183673469	11
nouns	crib	0.367346938776	11
verbs	cry	0.204081632653	11
nouns	cup	0.479591836735	11
adjectives	cute	0.132653061224	11
other	daddy	0.928571428571	11
verbs	dance	0.357142857143	11
adjectives	dark	0.0408163265306	11
other	day	0.0714285714286	11
nouns	deer	0.0408163265306	11
nouns	diaper	0.571428571429	11
other	dinner	0.244897959184	11
adjectives	dirty	0.19387755102	11
nouns	dish	0.0612244897959	11
nouns	dog	0.683673469388	11
nouns	doll	0.295918367347	11
other	don't	0.469387755102	11
nouns	donkey	0.0510204081633	11
nouns	door	0.387755102041	11
function_words	down	0.377551020408	11
verbs	draw	0.0408163265306	11
nouns	drawer	0.122448979592	11
nouns	dress (object)	0.0714285714286	11
verbs	drink (action)	0.479591836735	11
nouns	drink (beverage)	0.397959183673	11
verbs	drive	0.102040816327	11
adjectives	dry (description)	0.0714285714286	11
nouns	duck	0.275510204082	11
nouns	ear	0.255102040816	11
verbs	eat	0.5	11
nouns	egg	0.0612244897959	11
nouns	elephant	0.102040816327	11
adjectives	empty	0.132653061224	11
nouns	eye	0.30612244898	11
nouns	face	0.0816326530612	11
verbs	fall	0.132653061224	11
adjectives	fast	0.0510204081633	11
verbs	feed	0.122448979592	11
adjectives	fine	0.0408163265306	11
nouns	finger	0.19387755102	11
verbs	finish	0.0918367346939	11
nouns	firetruck	0.0918367346939	11
nouns	fish (animal)	0.15306122449	11
nouns	fish (food)	0.0408163265306	11
nouns	flower	0.204081632653	11
nouns	food	0.173469387755	11
nouns	foot	0.295918367347	11
nouns	fork	0.0816326530612	11
nouns	frog	0.0612244897959	11
nouns	garage	0.0408163265306	11
nouns	garden	0.0510204081633	11
adjectives	gentle	0.183673469388	11
verbs	get	0.255102040816	11
nouns	giraffe	0.0408163265306	11
other	girl	0.0816326530612	11
verbs	give	0.418367346939	11
nouns	glass	0.102040816327	11
nouns	glasses	0.142857142857	11
verbs	go	0.326530612245	11
adjectives	good	0.357142857143	11
other	night night	0.591836734694	11
nouns	goose	0.0612244897959	11
other	grandma	0.530612244898	11
other	grandpa	0.469387755102	11
other	grrr	0.214285714286	11
nouns	hair	0.336734693878	11
nouns	hammer	0.0612244897959	11
nouns	hand	0.234693877551	11
adjectives	happy	0.183673469388	11
adjectives	hard	0.0612244897959	11
nouns	hat	0.316326530612	11
nouns	head	0.173469387755	11
other	hello	0.326530612245	11
verbs	help	0.0714285714286	11
