	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0.094	0	0.0438666666667	0	0	0	0	0	0	0	0	0	0.2256	0	0	0.188	0.2068	0	0.005264	0	0	0	0.01692	0.00626666666667	0	0	0.0094	0	0	0	0	0	0	0.0125333333333
(u'ae',)	0.0564	0	0	0	0	0	0	0	0	0.0846	1	0	0	0	0.0	0	0	0	0	0	0.0705	0	0.0376	0.01316	0.0	0	0	0.5076	0.1128	0.3948	0.2256	0.00705	0	0	0	0.0	0.9588	1	0
(u'ah',)	0	0	0	0	0	0	0	0.2632	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0268571428571	0	0.00395789473684	0.0188	0.0	0	0	0.0260307692308	0	0.05264	0	0.0141	0	0	0	0.0	0	0	0.0752
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0.2444	0	0.0	0	0.3384	0	0	0	0	0	0	0.2256	0	0	0.188	0.2068	0	0.01316	0	0	0	0.1692	0	0.1316	0.0752	0.00512727272727	0	0	0	0	0.1598	0.5828	0
(u'ax',)	0.0188	0	0	0	0	0	0	0.02632	0	0.03384	1	0	0	0	0.0	0.0	0.0094	0	0	0.0564	0.1128	0.0213931034483	0.0141	0.0207789473684	0.0	0	0	0.0362571428571	0.02256	0.0282	0	0.00805714285714	0	0	0	0.0	0.11985	1	0.02256
(u'ay',)	0	0.2538	0	0	0	0.282	0	0	0	0.01128	0	0	0	0	0.0	0	0.01128	0.0966857142857	0	0	0.0626666666667	0.0886285714286	0.02256	0.3948	0	0	0	0	0	0	0	0.01692	0.0	0	0	0.0	0.9588	0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0.3384	0.0752	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0376	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.1692	0	0.0	0.1692	0.0188	0.0769090909091	0.7332	0.2961	0	0.0725142857143	0.5076	0	0.0	0.0	0	0.0	0.0846	0.145028571429	0.0	0	0	1	0.1128	0.3948	0	0.7614	0	1	0.06768	1	0	0	0	0	0.1269	0	0.4794	0.749314285714	0.3384
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0282	0.6768	0	0	0	0	0	0	0	0	0	0.188	0.2068	0.00501333333333	0.0292444444444	0	0	0	0.0483428571429	0.00341818181818	0.2632	0	0.00663529411765	0	0	0	0.0	0	0	0.0250666666667
(u'er',)	0	0	0	0	0.094	0.235	0	0	0	0	1	0	0	0	0	0	0.094	0	0	0	0.94	0	0	0.329	0	0	0	0.846	0	0.329	0	0.282	0.0	0	0	0	1	0	0.094
(u'ey',)	0.1692	0	0	0	0	0	0	0.1974	0.0	0.5076	0	0	0	0	0.0	0	0.1692	0	0	0	0.188	0.9306	0.1128	0.1692	0	0	0	0	0	0.5922	0	0.10152	0	0	0	0	0	1	0
(u'f',)	0.0564	0.5076	0.0	0.0141	0.0564	0.282	0	0.1316	0	0	0	0	0.0	0	0.0	0	0	0.2256	0	0	0	0.1551	0	0	0	0	0	0	0.0282	0	0	0.0846	0	0.0	0	0	0.4794	1	0
(u'g',)	0.00268571428571	0	0	0	0	0.094	0	0	0	0	0	0.0188	0.0	0	0	0	0	0.1128	0	0	0	0	0	0	0	0.0130153846154	0	0	0	0	0	0.0564	0	0	0	0	0	0.5828	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.188	1	0	0	0	0.235	0	0	0	0.047	0	0	0	0.0	0	0.0	0.0626666666667	0.564	0	0	0.376	0.517	0	0.219333333333	0	0	0	0.241714285714	0.188	0.658	0	0.0805714285714	0.0	0	0	0.0	1	0	0
(u'jh',)	0	0.3384	0.0	0	0	0	0	0	0	0	0.6768	0	0	0	0	0	0	0.4512	0	0	0	0	0	0	0	0.3384	0	0	0	0	0	0	0	0	0	0	0.6392	0	0
(u'k',)	0.2068	0.1551	0.0	0.0517	0	0.147714285714	1	0	0.0	0	0.37224	0.8272	0	0.0	0	0	0.0689333333333	0.8272	0.0	0	0	1	0	0	0	0	0	0.6204	0.2068	0.111353846154	0	0.2068	0	0.0	1	0	1	1	0
(u'l',)	0	1	0.0	0.0846	0	0	0.27495	0.23688	0	0.0725142857143	0	0.0796235294118	0	0.0	0.0	0	0.0564	0.3384	0.0	0	0	0.9306	0	0	0	1	0	1	0	0	0.6768	0.1692	0	0.0	0.1692	0	1	1	0.1692
(u'm',)	0.1504	0	0.0	0.03008	0	0.752	0.325866666667	0.5264	0	0	1	0.24064	0	0.0	0.0	0.0	0	1	0.0	0	0	0	0	0	0	0	0	0.0796235294118	0	0	0	0.4512	0.0	0	0.9024	0	0	1	0.1504
(u'n',)	0.0480444444444	1	0.0	0.4324	0.0393090909091	0.180166666667	1	1	0	0.0480444444444	0.707563636364	0.69184	0	0	0.0	0.0	0.4324	0.8648	0.0	0.4324	0	1	0.288266666667	0	0	0.6486	0	0	0	0.7567	0	0.05405	0	0	1	0	1	1	0
(u'ng',)	0	0	0	0	0	0.564	0	0	0	0.3384	1	0	0	0	0	0.0	0	0.3384	0	0	0.188	0	0.1128	0	0	1	0	0	0	0	0	0.1692	0	0	0	0	0	1	0
(u'ow',)	0	1	0.0	0	0	0.2444	0	0	0	0	1	0	0	0	0	0	0.0814666666667	0.7332	0	0	0.349142857143	0.6721	0	0.4277	0	0	0	0	0	0	0	0.3666	0.0	0	0	0.0	1	0	0.4888
(u'oy',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'p',)	0	1	0.0	0.188	0.094	0.170909090909	0	1	0	0	1	0	0.0	0	0.0	0.0	0	0.564	0	0	1	1	0	0	0	0	0	0.564	0.1504	0.438666666667	0	0	0	0.0	0	0	1	0	0
(u'r',)	0	0.2115	0.0	0.094	0.094	0.0427272727273	0.0814666666667	0.329	0	0.0564	1	0.125333333333	0	0.0	0.0	0.0	0.094	0.1128	0.0	0	0	1	0.188	0.329	0	0.2115	0.0	0	0	0.658	0	0.047	0.0	0	0.188	0	0.799	0.5828	0
(u's',)	0	1	0.0	0.1504	0	0.125333333333	0.2444	0.5264	0	0.1504	0.9024	0	0	0.0	0.0	0.0	0.1504	0.4512	0.0	0	0.752	0.236342857143	0.06016	1	0	1	0	0.3384	0.1504	0.1316	0.6016	0.0161142857143	0	0	0.9024	0	0.426133333333	1	0
(u'sh',)	0	0	0	0	0	0	0	0	0	0	0	0.3008	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0376	0	0	0	0	0.0	0	0	0	0	0
(u't',)	0.05452	0	0.0	0.2726	0.5452	0.0801764705882	0.787511111111	0.76328	0	0.2726	1	1	0.0	0.0	0.0	0.0	0.1363	0.5452	0.0	0	1	0.856742857143	0.181733333333	0.9541	0	1	0	0	0.0376	0.0812	1	0.4089	0	0	0.251630769231	0	0.842581818182	1	0
(u'th',)	0.0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.1692	0.7614	0	0	0	0.423	0	1	0	0.1692	0.435085714286	0	0	0	0.0	0.0	0.03384	0.6768	0	0	0.564	1	0.0483428571429	0.11844	0	0.30456	0	0.5076	0	0.3948	0.6768	0.2538	0.0	0	0	0.0	0.2397	1	0
(u'v',)	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0.0	0
(u'w',)	0.0	0	0.0	0.0	0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'z',)	0	0	0.0	0	0	0.0208888888889	0	0	0	0	0.3384	0	0	0	0	0.0	0.0125333333333	0.2256	0.0	0	0	0	0	0.1316	0	0	0	0	0.0376	0	0.1504	0.0188	0	0	0.0564	0	0	0	0
