Freq	Type
706	you
393	okay
372	oh
249	dillon
223	yeah
213	i
184	no
161	and
160	what
153	baby
140	mommy
120	wanna
117	go
111	here
111	up
104	mandy
103	alright
102	that
93	see
91	one
91	gonna
90	there
78	gotta
77	little
76	ready
76	kitty
76	it
76	huh
72	doing
68	boom
67	the
63	say
56	down
53	uhoh
52	daddy
51	we
51	tickle
50	out
47	this
46	bite
45	open
45	is
45	icy
44	my
44	good
44	a
43	way
42	teeth
42	do
42	again
41	me
40	hello
39	look
39	hey
39	off
37	nose
37	head
35	too
35	book
35	ball
35	on
33	peekaboo
33	lemme
33	it's
32	silly
31	very
31	honey
31	going
30	yummy
30	mouth
30	hi
30	floor
29	face
28	spider
28	juice
28	other
27	water
27	meow
27	cup
27	drink
26	page
26	more
26	house
26	hand
26	day
25	dear
25	dada
25	boy
24	shoes
24	play
24	that's
24	door
23	yes
23	close
23	hair
23	getting
23	fish
22	now
22	mommy's
22	kiss
22	eat
22	away
21	teddy
21	spoon
21	over
21	minute
21	let's
21	doggie
20	today
20	something
20	poopie
20	pretty
20	playing
20	milk
20	man
20	for
20	dirty
20	diaper
20	cheese
20	bunny
19	three
19	right
19	looking
19	love
19	done
19	cheery
19	better
19	outside
18	really
18	car
18	hot
17	yellow
17	cold
17	him
17	bear
17	belly
16	ya
16	time
16	seven
16	mirror
16	phone
16	funny
16	them
16	baa
16	bottle
15	peas
15	knee
15	maybe
15	kinda
15	horsie
15	feet
15	back
15	upstairs
14	wait
14	miranda
14	any
13	whoa
13	in
13	fingers
13	angel
13	bigger
13	eyes
13	all
13	are
12	want
12	oops
12	tray
12	tongue
12	side
12	please
12	mister
12	come
12	humpty
12	hat
12	hands
12	finger
12	dumpty
12	chair
12	bouncing
12	bucket
12	bag
12	orange
11	wow
11	tail
11	slam
11	shoe
11	piglet
11	nana
11	mama
11	lamb
11	careful
11	kangaroo
11	jump
11	girl
11	eight
11	around
11	those
11	chicken
11	be
11	bib
10	window
10	wet
10	together
10	rooster
10	rain
10	remember
10	nine
10	mandy's
10	clean
10	cat
10	help
10	gimme
10	five
10	find
10	else
10	chin
10	broom
10	breakfast
10	babies
10	balls
10	body
10	our
10	ouch
10	under
9	yogurt
9	your
9	whoops
9	scrumptious
9	six
9	saying
9	peanut
9	piggy
9	night
9	microphone
9	mouse
9	matter
9	cracker
9	climbing
9	even
9	easter
9	ears
9	handsome
9	goes
9	gone
9	got
9	fun
9	different
9	did
9	bowl
9	being
9	big
9	bed
9	by
9	basket
8	yep
8	well
8	while
8	train
8	toes
8	tissue
8	think
8	turnaround
8	ten
8	telephone
8	second
8	sun
8	rocking
8	puppy
8	mkay
8	later
8	crooked
8	crying
8	eating
8	ear
8	hungry
8	angels
8	doll
8	before
8	because
8	bike
8	bath
8	bam
8	about
8	already
7	where
7	walking
7	truly
7	truck
7	thing
7	turtle
7	turn
7	talking
7	story
7	sleep
7	slippers
7	slipper
7	somebody
7	sock
7	paper
7	neigh
7	mother
7	clothes
7	kitchen
7	can
7	cough
7	he
7	her
7	happy
7	faces
7	first
7	egg
7	these
7	dollie
7	choochoo
7	babe
7	balance
7	almost
6	yourself
6	yuck
6	wall
6	triangle
6	toy
6	things
6	swallow
6	stars
6	splash
6	sleepy
6	seat
6	said
6	socks
6	roof
6	rainbow
6	rattle
6	piece
6	part
6	mickey
6	monkey
6	mom
6	leg
6	light
6	loud
6	cookie
6	clown
6	cake
6	curtain
6	cow
6	coming
6	how
6	hug
6	happened
6	everywhere
6	ever
6	l
6	downstairs
6	duckie
6	bout
6	bad
6	another
5	yours
5	wheels
5	try
5	toys
5	tonight
5	tall
5	stairs
5	stuff
5	spitting
5	spout
5	snow
5	smiling
5	sleeve
5	sitting
5	sheep
5	song
5	read
5	robin
5	practice
5	place
5	people
5	pee
5	pajamas
5	patty
5	pants
5	pasta
5	only
5	new
5	neck
5	moo
5	lookee
5	lap
5	cleaning
5	comes
5	either
5	home
5	have
5	hannah
5	goldfish
5	garage
5	food
5	foot
5	from
5	phony
5	flying
5	fly
5	fur
5	falling
5	fussing
5	aid
5	ernie
5	everything
5	empty
5	dinner
5	they
5	checking
5	books
5	bread
5	blowing
5	beets
5	baseball
5	i'm
5	into
5	apple
5	achoo
4	yet
4	yum
4	wind
4	work
4	word
4	watch
4	uhhuh
4	table
4	tower
4	tadah
4	sweater
4	street
4	standing
4	stop
4	smily
4	square
4	sauce
4	soft
4	roadblock
4	row
4	running
4	run
4	plate
4	pieces
4	pot
4	pocket
4	nilly
4	name
4	never
4	next
4	ned
4	messy
4	message
4	morning
4	much
4	mop
4	listen
4	lion
4	question
4	christopher
4	christmas
4	crackers
4	clap
4	clock
4	call
4	gentle
4	horse
4	grocery
4	grow
4	flower
4	feeling
4	fishie
4	favor
4	forget
4	fine
4	father
4	airplane
4	elephant
4	ding
4	decide
4	daddy's
4	cheerio
4	breeze
4	boing
4	blankie
4	busy
4	build
4	butter
4	button
4	bunnies
4	awful
3	yucky
3	weasel
3	weensie
3	whiskers
3	with
3	working
3	wire
3	why
3	wobbly
3	twenty
3	twelve
3	trees
3	trash
3	toe
3	thinking
3	thirteen
3	thirsty
3	tiny
3	tummy
3	sweetheart
3	swing
3	still
3	stout
3	start
3	star
3	spinning
3	so
3	scratch
3	sister
3	says
3	set
3	sore
3	summer
3	wrecking
3	rice
3	rough
3	rash
3	rockie
3	rock
3	put
3	plenty
3	plant
3	pillows
3	picture
3	purple
3	puzzle
3	number
3	music
3	mess
3	might
3	many
3	lee
3	lid
3	longer
3	long
3	laugh
3	cute
3	crinkly
3	kicking
3	cover
3	cups
3	color
3	carry
3	cardboard
3	whole
3	hurt
3	heavy
3	having
3	goose
3	green
3	grass
3	gate
3	game
3	gosh
3	golf
3	football
3	full
3	fits
3	fuzzy
3	fussy
3	faster
3	family
3	early
3	eensie
3	end
3	dry
3	though
3	dustpan
3	dot
3	doctor
3	choking
3	cheek
3	cheerios
3	chimney
3	bridge
3	blue
3	blind
3	blanket
3	beat
3	bit
3	biggest
3	birdies
3	birdie
3	bell
3	bang
3	bottom
3	box
3	unhappy
3	enough
3	us
3	apples
3	answer
3	actually
3	arm
2	zebra
2	zipper
2	zachary
2	yawn
2	we'll
2	weak
2	whisker
2	willy
2	whale
2	works
2	where's
2	wide
2	walker
2	wham
2	washcloth
2	vole
2	tweedledee
2	trying
2	tractor
2	thirty
2	thumb
2	taking
2	turkey
2	tennis
2	tiger
2	tired
2	town
2	taller
2	touch
2	tub
2	tank
2	top
2	toddler
2	sweeping
2	super
2	soup
2	stomach
2	stuck
2	spin
2	spaghetti
2	snooze
2	sneeze
2	snack
2	smile
2	smart
2	slipping
2	squirt
2	squirrel
2	scoop
2	school
2	sky
2	sitter
2	sip
2	sink
2	shoulda
2	shiver
2	shapes
2	shirt
2	sean
2	save
2	circles
2	circle
2	saw
2	sunshine
2	room
2	rule
2	ringing
2	ring
2	ride
2	rattles
2	pool
2	pulling
2	pull
2	presents
2	point
2	post
2	plastic
2	picking
2	pencil
2	penny
2	pie
2	pouch
2	path
2	panther
2	pad
2	oyster
2	noise
2	near
2	nail
2	nothing
2	noggin
2	moving
2	mean
2	minutes
2	making
2	mary
2	meadow
2	mine
2	microwave
2	mouthful
2	munchkin
2	market
2	mark
2	ma
2	lotion
2	leaves
2	lady
2	lever
2	leftover
2	left
2	lights
2	laura
2	lunch
2	laughing
2	quiet
2	crew
2	cry
2	crawling
2	crawl
2	crumbs
2	crash
2	closes
2	cleaned
2	club
2	keys
2	kitty's
2	cannot
2	couch
2	cowboy
2	corner
2	coral
2	cutting
2	couple
2	cans
2	carpet
2	card
2	july
2	jingles
2	jiggety
2	giraffe
2	jammies
2	easier
2	easy
2	explosion
2	hint
2	haystack
2	has
2	handle
2	hammer
2	halfway
2	hard
2	goodness
2	growing
2	great
2	grapefruit
2	grandpa
2	glasses
2	get
2	frustrated
2	froggie
2	float
2	flys
2	flowers
2	fluff
2	fit
2	finish
2	fifteen
2	fellow
2	fourteen
2	fat
2	fox
2	eggs
2	dwight
2	drinking
2	dirt
2	dog
2	duck
2	w
2	dancing
2	children
2	boomerang
2	boo
2	broken
2	breaking
2	break
2	blocks
2	birthday
2	bird
2	best
2	bites
2	byebye
2	balmex
2	bounce
2	but
2	bubble
2	bonnet
2	bother
2	entirely
2	instead
2	exists
2	oscar
2	uncle
2	after
1	zach
1	yearling
1	yell
1	yawning
1	yak
1	wolf
1	wool
1	woods
1	winter
1	winky
1	will
1	waiting
1	wake
1	wafer
1	world
1	worried
1	were
1	wednesday
1	went
1	web
1	white
1	whining
1	wider
1	wherever
1	whenever
1	warm
1	walk
1	ones
1	once
1	onesie
1	wasn't
1	was
1	washrag
1	wanted
1	watching
1	voice
1	visit
1	vampire
1	ew
1	twisting
1	tuesday
1	tooth
1	true
1	treat
1	tree
1	tripping
1	tried
1	triangles
1	toaster
1	t
1	tears
1	timbers
1	throughout
1	throat
1	throwing
1	thread
1	thin
1	tape
1	taken
1	turns
1	tell
1	typing
1	times
1	timer
1	towel
1	talker
1	tuffet
1	touching
1	tangled
1	swimming
1	string
1	straight
1	strike
1	strong
1	stinky
1	stinker
1	sticks
1	stir
1	stereo
1	steady
1	style
1	store
1	stutter
1	stuffy
1	stand
1	startled
1	started
1	spring
1	spit
1	spilling
1	spill
1	space
1	sport
1	spot
1	sofa
1	sewing
1	snake
1	snaps
1	snap
1	smoother
1	slow
1	sleeves
1	slippery
1	slimy
1	slide
1	squid
1	screaming
1	scream
1	scorpion
1	seen
1	citrus
1	singing
1	sing
1	sill
1	sixpence
1	sidney
1	sure
1	sugar
1	shells
1	shell
1	chef
1	shedding
1	short
1	shovel
1	shopping
1	shod
1	same
1	certainly
1	sir
1	settle
1	siren
1	silent
1	sometimes
1	some
1	sixteen
1	sound
1	sunny
1	sunday
1	somewhere
1	someplace
1	sudden
1	sorry
1	sockies
1	routine
1	rules
1	rosy
1	reach
1	ribbons
1	rained
1	rest
1	wreck
1	redhead
1	ryan
1	refrigerator
1	rather
1	pooping
1	pooh
1	putting
1	prunes
1	precious
1	prowl
1	pointed
1	pony
1	polka
1	plums
1	plug
1	platter
1	plants
1	plan
1	peter
1	peek
1	peaches
1	pin
1	piggies
1	pig
1	pitcher
1	pearl
1	petal
1	pears
1	parrot
1	piper's
1	papaya
1	posy
1	pause
1	porthole
1	puddy
1	puddle
1	past
1	pack
1	pots
1	possums
1	partner
1	popular
1	own
1	older
1	old
1	news
1	nutritious
1	noodles
1	nope
1	neat
1	need
1	neighbor
1	nursing
1	necklace
1	nighttime
1	nice
1	napkin
1	nap
1	not
1	moved
1	moose
1	moon
1	most
1	moment
1	means
1	meantime
1	meal
1	missing
1	miss
1	middle
1	mail
1	make
1	made
1	may
1	measuring
1	messer
1	men
1	melon
1	megablocks
1	mile
1	must
1	money
1	monday
1	muffins
1	mango
1	mammals
1	match
1	monster
1	losing
1	loons
1	looked
1	low
1	lean
1	live
1	list
1	lips
1	links
1	lane
1	line
1	language
1	cutie
1	quiz
1	quails
1	quail
1	quarrel
1	cooks
1	could
1	crow
1	crazy
1	crust
1	crabby
1	closer
1	clearer
1	clip
1	clicker
1	climb
1	clouds
1	cloudy
1	clapping
1	kiwi
1	keep
1	kitten
1	kickball
1	kick
1	kids
1	kidney
1	kid
1	curtains
1	carefully
1	kite
1	control
1	container
1	counter
1	courting
1	course
1	corn
1	cork
1	called
1	covers
1	cut
1	colorful
1	cats
1	camera
1	calf
1	cotton
1	concentrating
1	collar
1	cockle
1	coughing
1	genie
1	jiggling
1	jig
1	jelly
1	giant
1	just
1	jumping
1	jar
1	jog
1	isn't
1	itty
1	interesting
1	interested
1	huge
1	who's
1	who
1	hood
1	hoping
1	holdup
1	hold
1	his
1	hitting
1	here's
1	heros
1	hippo
1	hers
1	hurts
1	heard
1	hen
1	helper
1	hiding
1	horn
1	hawk
1	hunt
1	happens
1	hanger
1	hanging
1	handy
1	hafta
1	half
1	habits
1	hospital
1	heart
1	hop
1	hog
1	grover
1	griffin
1	gracious
1	graham
1	ground
1	glad
1	guy
1	gump
1	garden
1	friday
1	flavor
1	fluffy
1	feeder
1	feed
1	fear
1	fins
1	finished
1	filling
1	fifty
1	fiddle
1	forgetting
1	forever
1	fella
1	fell
1	feather
1	finding
1	fire
1	found
1	forward
1	forest
1	fallen
1	fall
1	fuss
1	fast
1	fancy
1	fanny
1	farmer
1	farm
1	far
1	following
1	follow
1	urchins
1	air
1	anyone
1	anymore
1	edge
1	drinkie
1	dressed
1	dresses
1	don't
1	dough
1	deal
1	d
1	dishes
1	didn't
1	there's
1	then
1	daisy
1	days
1	dame
1	dial
1	decided
1	dadada
1	doors
1	doorway
1	doorbell
1	doesn't
1	dust
1	double
1	dad
1	darling
1	chew
1	choices
1	check
1	chart
1	boop
1	booboo
1	bushes
1	breather
1	bridges
1	broader
1	brush
1	brother
1	broccoli
1	blink
1	blankies
1	block
1	beak
1	bitty
1	below
1	base
1	bake
1	burp
1	barely
1	bench
1	bicycle
1	between
1	beside
1	banana
1	believe
1	born
1	buttsie
1	buttons
1	bus
1	bump
1	buggie
1	buddy
1	bubbles
1	battle
1	bat
1	baskets
1	basketball
1	banging
