	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'r',)	0.0994285714286	0.522	0.0696	0.174	0.0	0.087	0.29	1	0	0.435	0.657333333333	0.174	0	0	0.232	0.348	0	0.29	0.0	0.348	1	0.087	0.696	1	0	1	0	0.0	0.522	0	0	0.0	0	0	0.087	0	1	1	0.0
(u's',)	0.2204	0.6612	0.1102	0.2204	0	0.0551	0	1	0	1	1	0.2204	0	0.0	0	0.4408	1	0.551	0.0	0	0.551	0.2204	1	1	0	1	0	0.0	0	1	0.8816	0.0	0.0	0	0	0.0	1	0	0
(u'sh',)	0	0.0696	0.0232	0	0	0	0	0	0	0	0	0.0116	0	0	0	0	0.3712	0.116	0.0	0	0	0.0232	0	0	0	0	0	0	0	0	0	0	0	0.00232	0.0232	0	0	0	0
(u't',)	0.3248	0.9744	0.0812	0.216533333333	0	0.0103111111111	1	1	0	0.360888888889	0.6902	0.144355555556	0.0	0.0	0.25984	0.3248	1	0.406	0.0	0.6496	1	0.6496	0.433066666667	1	0	0	0.0	0.0	0.38976	0.123733333333	0.51968	0.0	0.0	0	0.108266666667	0	1	1	0
(u'th',)	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0
(u'uh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0	0	0	0	0
(u'uw',)	0.232	0.696	0	0	0	0.0773333333333	0	0	0	0.145	1	0.464	0	0	0.232	0.029	0.7424	1	0	0	0.128888888889	0.0773333333333	0.232	0.618666666667	0	0	0	0.0	0	0.1856	0.464	0.0	0.0	0	0	0.0	0.58	0.5568	0.0
(u'v',)	0	0.0696	0	0.0464	0	0.00515555555556	0	0.3712	0.0	0.232	0.15776	0.0464	0.0	0	0.0928	0.0232	0	0.0773333333333	0.0	0	0	0	0.0928	0.3712	0	0	0	0	0.1392	0.1856	0	0.0	0	0	0	0	1	0	0.0
(u'w',)	0.0	0	0.0	0.0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'y',)	0	0.0	0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0
(u'z',)	0.1624	0.4872	0	0	0	0.0812	0.812	0	0	0.812	0.3944	0	0	0	0.3248	0.1624	1	0.135333333333	0	0.1624	0	0.1624	0	0.25984	0	0	0	0.0	0.4872	0.6496	0.6496	0.0	0	0	0	0	0	1	0
