	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.1967	0	0	0	0	0	0	0	0	0.19108	0	0	0	0	0.3934	0.0802857142857	0.0234166666667	0	0	0	0.1686	0.0187333333333	0	0.5058	0.1124	0	0	0	0	1	0	0.0
(u'ae',)	0.0281	0	0	0	0	0	0	0.29505	0.0	0.37935	0.843	0	0	0	0.12645	0	0	0	0	0	0.0526875	0	0	0.0105375	0.0	0	0	0.12645	0	0	0	0.004215	0	0	0	0.04215	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0.1124	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0.07025	0	0	0.07025	0	0	0	0	0	0.0843	0	0.007025	0	0	0	0	0	0	0
(u'ax',)	0	0	0.0	0	0.0	0.4496	0	0.0357636363636	0	0.0843	0	0.0	0	0	0.03372	0.02248	0	0	0	0.0562	0.0401428571429	0.0119212121212	0.0510909090909	0.01405	0.0	0	0	0.0153272727273	0.0240857142857	0.13488	0.0562	0.02248	0	0	0	0.0281	0	1	0.0
(u'ay',)	0	0	0	0	0	0.6744	0	0	0	0.7587	1	0	0	0	0	0	1	0	0	0	0.07025	0.5901	0.1405	0.21075	0	0	0	0	0	0.144514285714	0	0.0240857142857	0.0	0	0	0.0843	0.843	0	0.0
(u'b',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0	0.0	0	0	0	0.0	0
(u'ch',)	0.0281	0	0.0	0.01405	0	0.1124	0	0.09835	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0	0.0	0.0562	0	0.299733333333	0.08992	0.7868	0	1	1	0	0.0	0.0204363636364	0	0	0.9554	0.187333333333	0.0	0.1124	0.187333333333	0	1	0.187333333333	0	0.187333333333	0	0	0	0	1	0.1124	0	0	0.0843	0.1124	0.4496	1	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0	1	0	0	0	1	0	0.09835	0	0.569025	0.843	0.0	0	0	0.12645	0.2529	0.71655	1	0.0	0	0.21075	0.88515	1	0.316125	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0.0
(u'ey',)	0.3653	0	0	0	0	0	0	0.426183333333	0.0	0.54795	1	0	0	0	0	0	1	0	0	0	0.101472222222	1	0.91325	0.91325	0	0	0	0.54795	0	0.3653	0	0.121766666667	0	0	0	0	0	1	0.0
(u'f',)	0	0	0.0	0.0105375	0	0.1686	0.0843	0	0	0	0	0.0	0.0	0.04215	0	0	0	0.105375	0	0	0	0.0737625	0	0	0	0.105375	0	0	0	0	0	0.0843	0	0	0	0	0	0	0
(u'g',)	0.1405	0	0	0	0	0.562	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0.0	0	0.175625	0.49175	0	0	0	0.117083333333	0	0	0.035125	0.4215	0	0	0	0.0	0	0	0	0	0.0
(u'hh',)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0	1	0	0	0	0.936666666667	0	0.6146875	0.0	0.316125	1	0	0	0.175625	0.175625	0	1	1	0	0	0.159659090909	1	0.7025	0.585416666667	0	0	0	0.105375	0.526875	0.843	1	0.1405	0.0	0	0	0.35125	1	0	0.0
(u'jh',)	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
(u'k',)	0	0.2248	0.0	0.1124	0.0	0.299733333333	0.4496	0.524533333333	0	0	0	0	0	0.0408727272727	0	0	1	0.204363636364	0.0	0.2248	1	0.31472	0	1	0	1	0.08992	0	0.1686	0.207507692308	0	0.08992	0	0.0	0.3372	0	0.749333333333	1	0
(u'l',)	0.0843	0.7587	0.0	0.04215	0.0	0.1124	0.0281	0.1967	0	0.2529	1	0.0	0.0	0.0843	0	0.1686	0.71655	0.0843	0.0	0	0.4215	0	0	0	0	0.0383181818182	0	0	0	0	0.7587	0.0562	0	0.0	0.0843	0.0843	0.843	1	0.0
(u'm',)	0.00468333333333	0	0.0	0	0.0	0.007025	0	0.09835	0	0	0	0.0	0	0.00200714285714	0.04215	0	0.23885	0.1405	0.0	0	0.07025	0.09835	0	0.07025	0	0	0	0.04215	0	0	0	0	0.0	0	0.007025	0	0.1405	0.2529	0.0
(u'n',)	0	0.5901	0.0	0	0.0	0.121046153846	0.131133333333	0	0	0.0769695652174	0.655666666667	0.0	0	0.3934	0	0	0.66878	1	0.0	0.0245875	0.49175	0.458966666667	0	0.9835	0	0.1967	0	0.147525	0.5901	0.5901	1	0.0207052631579	0	0	0.5901	0	1	0.88515	0
