	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0.2016	0	0	0	0.4704	0.588	0	0	0	0	0	0	0.4032	0	0	0.0746666666667	0	0.0183272727273	0.0042	0.0	0	0	0.0448	0	0.4704	0	0.00433548387097	0.0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	1	0	0.4704	0	0	0	0	0	0	0	0	0	0	0	0	0.2016	0.0096	0	0	0	0	0	0	0	0.02688	0	0	0	0	0	0	0
(u'ax',)	0	0	0.5712	0	0	0	0	0.156619354839	0.0	0.4998	0	0	0	0	0.0	0.0	0	1	0	0	0.1428	0.0408	0.34272	0.0476	0.0	1	0	0.0952	0.1428	0.181745454545	1	0.0211555555556	0	0	0	0	0.6426	1	0.0
(u'ay',)	0	0	0	0	0	0	0	0	0	0.1176	0	0	0.0	0	0	0.0	0	0	0	0	0.0746666666667	0	0.4032	0.1344	0	0	0	0.0672	0	0	0	0.0149333333333	0	0	0	0.0	0.4032	0	0
(u'b',)	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0	0	0	0	0	0	0.02688	0.0	0.0084	0	0	0	0.1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.3024	0.0336	0.04032	0	0.0	0.1512	0	0	0	0.2352	1	0	0.0	0	0.0	0	0	0	0	0	0	0.3024	0.6048	0	0	0.4032	0	0	0.02016	0	0	0.2016	0	0	0.0432	0	0.36288	1	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0.0	0	0	0	0	0	0.2352	0	0	0	0	0	0	0	0	0	0	0.336	0.1008	0.01008	0.0168	0	0	0	0.0672	0.00373333333333	0.0336	0	0.0168	0	0	0	0.0	0.04032	0	0.0
(u'er',)	0.0504	0	0	0	0	0.00687272727273	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0504	0	0.2016	0	0	0	0.1764	0	0.0336	0	0	0	0	0.4536	0	0.0
(u'ey',)	0	0	0	0	0	0.252	0	0.476	0.0	0	0	0	0	0	0	0	1	0	0	0.084	0.168	0.084	0	0	0	0	0	0	0	0	0	0.084	0	0	0	0	1	0	0
(u'f',)	0	0.0168	0.0336	0.0	0	0.0504	0.0168	0	0	0	0	0	0	0	0	0	0	0.1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.00152727272727	0	0	0	0	0.0021	0	0	0	0	0.1344	0	0	0	0	0	0.0112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252	0	0	0.6384	0
(u'ih',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0
(u'iy',)	0	0	0	0	0.0	0	0	0.2856	0	0	1	0	0	0	0	0.0	1	1	0	0	0.315	0.378	0	0.504	0	0.336	0	0.144	0.252	1	0	0.0458181818182	0	0	0	0	0	1	0.0
(u'jh',)	0	0	0	0	0	0	0	0	0	0	0	0.0896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'k',)	0	0.0052	0	0	0	0.0504	0	0	0.0	0	0	0	0	0.04368	0.0	0	0	0.119127272727	0.0	0	0	0.1638	0.3276	0	0	0	0	0	0.0728	1	0.4368	0	0	0	0	0	0	1	0
(u'l',)	0.2016	0.0448	0	0	0.0	0	0.0192	0	0	0.9408	0	1	0	0.0672	0	0.0	0	0.16128	0.0	0.2688	0	0	0	0	0	0.1792	0	0	0.1344	0.9408	0	0	0	0.0	0	0	1	0	0.0
(u'm',)	0.1176	0	0.2352	0.0	0	0.3528	0	0	0	0	1	0.4704	0.0	0.0130666666667	0	0	0	0.7056	0.0	0	0	0	0.7056	0	0	0.2352	0	0.0104533333333	0	0	0	0	0	0	0.0504	0	0	1	0
(u'n',)	0	0.01512	0.1008	0	0	0.0252	0.1512	0.3213	0	0.0378	0.182482758621	0	0	0.1512	0	0	0	0.9072	0.0	0	0	0.4536	0	0	0	0.1008	0	0.6048	0	0	0	0.01512	0	0	0	0	0	1	0.0
(u'ng',)	0.0672	0.0672	0	0	0	0.2016	0	0.0634666666667	0	0	0	0	0	0	0	0	0.8064	0	0	0	0.1344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
(u'ow',)	0	0	0	0	0	0	0	0.8568	0	0	0	0.8064	0	0	0	0	1	0	0	0	0.2016	0	0	0.0672	0	0	0	0.4032	0.0504	0.1764	0	0.0504	0	0	0	0.0	0	0	0.0
(u'oy',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2688	0	0	0	0	0	0	0	0	0	0	0	0	0
