	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0	0	0	0.15025	0	0	0	0	0	0	0	0	0	0	0	0	0.000626041666667	0	0	0	0	0.00214642857143	0	0	0.00375625	0	0	0	0	0	0	0.0
(u'ae',)	0	0	0	0	0	0	0.33055	0	0	0.015025	0	0	0	0	0.015025	0	0.1202	0	0	0	0.0601	0.105175	0	0.00100166666667	0	0	0	0	0	0	0	0.000715476190476	0	0	0	0.0	0	0	0
(u'ah',)	0	0	0	0	0	0	0	0.07136875	0	0	0.15025	0	0	0	0.015025	0	0	0	0	0	0	0	0.039065	0.00375625	0.0	0	0	0.0200333333333	0	0.045075	0	0.001878125	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0
(u'aw',)	0	0	0	0	0	0	0	0.475791666667	0	0.375625	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075125	0	1	0	0	0	0	0	0.00834722222222	0.0	0	0	0	0	0	0
(u'ax',)	0	0	0.0	0	0	0.0	0	0.1427375	0.27045	0	0.9015	0	0	0	0.01803	0.03606	0.2404	0	0.0	0	0.3606	0.0315525	0.123363157895	0.00530294117647	0.0	0	0	0.3606	0.0601	0.0135225	0	0.0075125	0	0	0	0.0	0.5409	0.405675	0.0
(u'ay',)	0	0	0	0	0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0	0.0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0	0
(u'd',)	0.39065	0	0.0	0	0.195325	0.0	0	1	0	0	1	1	0	0.195325	0	0	0	0.251132142857	0.0	0	0.7813	0	1	0.0217027777778	0	0.73246875	0	0	0.195325	0	0	0	0	0	0.0	0	1	0.351585	0
