	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0140666666667	0.0	0.03165	0	0	0	0	0.0140666666667	0	0	0.3165	0	0	0.0211	0.1266	0	0.00511515151515	0	0	0	0.00703333333333	0.003376	0	0	0.00844	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0.0211	0	0	0.3165	0	0	0	0	0	0	0	0	0	0.0422	0	0	0.00582068965517	0.0	0	0	0.0211	0.0844	0	0	0.00324615384615	0.01055	0	0	0.0	0.4431	0.5486	0.0
(u'ah',)	0	0	0	0	0	0	0	0.00767272727273	0	0	0.422	0	0	0	0	0	0	0	0	0	0.0140666666667	0.0844	0.1266	0.0225066666667	0	0	0	0.00844	0	0.1266	0.0422	0.03376	0	0	0	0.0	0	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.15825	0	0	0	0	0	0.03376	0	0	0	0.0422	0	0.1266	0	0.00937777777778	0.0422	0	0	0	0.1477	0	0
(u'ax',)	0	0	0.0140666666667	0.0	0	0	0	0.00422	0	0.03165	0.633	0	0	0	0.03376	0.0301428571429	0.0422	0	0.1688	0	0.01055	0.00723428571429	0.005275	0.0120571428571	0.0	0	0	0.00703333333333	0.0281333333333	0.015825	0.0140666666667	0.00602857142857	0	0	0	0.0	0.110775	0.2743	0
(u'ay',)	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0.0	0	0
(u'b',)	0.03376	0.2321	0.0844	0.0	0	0.00351666666667	0.1688	0	0	0	0	0.0984666666667	0.0	0.0422	0	0	0	0.1266	0.0211	0.0	0	0.1266	0	0	0	0	0.0	0	0.0281333333333	0	0	0	0	0	0	0	0	0	0
(u'ch',)	0	0	0	0	0.0	0	0	0	0	0	0	0.0633	0	0	0	0	0	0	0.2532	0	0.1266	0	0	0	0	0	0	0	0	0.3798	0	0.2532	0	0	0	0	0	0	0
(u'd',)	0.7596	1	0.0237375	0.0	0.0	0.0633	1	0.1899	0	0	1	0	0.0	0.3798	0	0	0.28485	0.9495	0.07596	0.0	0.1899	1	0.09495	1	0	0.0781941176471	0	0.1266	0.3798	0.22788	0	0.1266	0	0	0.332325	0	0.4984875	1	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'er',)	0.2532	0	0	0	0.0	0	0	0	0	0.1899	0.3798	0.1477	0	0	0	0	0.1899	0	0.2532	0	0.0422	0.3798	0	0.1688	0	0	0	0.0422	0	0.07596	0	0.2532	0	0	0	0	0	0	0
(u'ey',)	0.0703333333333	0	0	0	0	0	0	0.1055	0.0	0.03165	0	0	0	0	0.422	0	0	0	0	0	0.0124117647059	0	0.15825	0.281333333333	0	0	0	0.1055	0	0.633	0	0	0	0	0	0	0.553875	0	0.0
(u'f',)	0	0	0	0.0	0	0.005275	0.0844	0	0	0	1	0	0.0	0	0	0	0	0.633	0	0	0	0.05064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4431	0	0
(u'g',)	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0.0	0	0	0	0
(u'hh',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0
(u'iy',)	1	0	0.7174	0.0	0	0.3587	0	0	0	0.0768642857143	1	0	0	0	0	0.448375	0.21522	1	0	0	0.17935	0.153728571429	1	0.318844444444	0	0	0	0.3587	0	0.43044	0	0.0683238095238	0.0652181818182	0	0	0.0	1	1	0.0
