Freq	Type
685	say
426	you
259	mommy
243	here
211	up
210	okay
192	oh
184	and
165	huh
160	what
151	yeah
139	no
112	timmy
110	it
105	mommy's
103	there
101	uhoh
101	gonna
95	mouth
94	we
92	go
78	boy
78	out
77	ball
72	lemme
68	water
68	peekaboo
62	oops
61	belly
60	tim
59	yummy
59	wanna
59	see
58	right
56	juice
55	i
54	is
54	that's
54	down
54	cheese
53	horsie
53	back
50	timmy's
50	byebye
49	a
48	kisses
47	look
47	little
46	whoa
46	that
45	uhhuh
44	going
44	icy
42	one
42	together
42	spoon
42	mail
41	oopsie
41	play
41	head
40	piggy
39	let's
39	fingers
39	around
38	mom
38	book
37	buckle
35	good
34	where's
34	doing
33	toes
33	the
33	bouncie
33	on
32	hello
32	banana
31	yay
31	people
31	bus
30	drink
29	puppy
29	day
29	bear
29	baa
28	stop
28	spider
28	knee
28	mkay
28	diaper
27	ready
27	cake
27	giddyup
27	downstairs
26	rolling
26	duck
26	bowl
26	outside
26	other
25	walk
25	too
25	patty
25	him
25	phone
25	do
25	this
25	byebyes
24	tractor
24	piggies
24	hair
24	elmo
24	them
23	zipper
23	weensie
23	tongue
22	cookie
22	in
22	choochoo
21	over
21	mama
21	bath
21	off
20	gotta
20	chair
20	bike
20	bunny
19	way
19	tootsies
19	shoes
19	ring
19	matter
19	eat
19	hey
19	hi
19	hands
19	getting
19	apart
18	whoops
18	please
18	nose
18	moo
18	carrots
18	barn
18	away
17	silly
17	rosy
17	mister
17	hand
17	face
17	books
16	toys
16	three
16	turnaround
16	something
16	push
16	lunch
16	cart
16	dirty
15	yuckies
15	rooster
15	pumpkins
15	open
15	clock
15	cat
15	hungry
15	door
15	daddy
14	very
14	sweetie
14	slippy
14	pretty
14	pee
14	nana
14	microphone
14	cup
14	eating
14	help
14	finger
13	yumyum
13	trash
13	ride
13	milk
13	looking
13	keys
13	eensie
13	doggie
13	birdie
13	better
13	bat
12	whoopsie
12	t
12	timothy
12	circle
12	pants
12	more
12	man
12	later
12	car
12	he
12	hammer
12	cheery
12	bib
12	baby
12	bambi
11	yucky
11	washcloth
11	telephone
11	today
11	sweetheart
11	sky
11	song
11	room
11	pumpkin
11	part
11	maybe
11	monster
11	foot
11	everybody
11	chicken
11	boom
11	bread
11	basket
11	umbrella
10	yellow
10	street
10	store
10	snap
10	sleepy
10	shoe
10	playing
10	noise
10	nice
10	leg
10	cold
10	heavy
10	food
10	full
10	floor
10	first
10	fence
10	fuzzy
10	dressed
10	bag
10	upstairs
10	our
9	trees
9	tray
9	teethies
9	pie
9	me
9	come
9	have
9	gimme
9	for
9	egg
9	breakfast
9	button
9	box
9	eyes
9	arm
8	zip
8	your
8	tickle
8	tummy
8	taxi
8	stuck
8	sunshine
8	socks
8	read
8	pieces
8	pack
8	now
8	market
8	ma
8	coat
8	careful
8	goose
8	green
8	girl
8	flower
8	feet
8	fish
8	done
8	blowing
8	bed
8	buddy
8	after
8	are
7	yep
7	ya
7	what's
7	spinach
7	soap
7	really
7	pies
7	punkin
7	neck
7	nugget
7	minute
7	mess
7	monkey
7	cow
7	honey
7	hugs
7	flowers
7	everywhere
7	emmy
7	did
7	eyeore
7	all
7	uncle
6	yes
6	toy
6	table
6	top
6	spout
6	so
6	slipping
6	side
6	santa
6	ribbet
6	putting
6	posy
6	patches
6	pocket
6	noodles
6	nails
6	clean
6	closet
6	kiss
6	hera
6	her
6	house
6	hug
6	happy
6	football
6	fit
6	five
6	they
6	daisy
6	bit
6	orange
6	under
5	working
5	tools
5	train
5	towel
5	splash
5	spaghetti
5	sofa
5	sink
5	sheep
5	says
5	sesame
5	second
5	some
5	saw
5	ripe
5	pajamas
5	puzzle
5	music
5	my
5	mamama
5	matt
5	lotion
5	legs
5	kitty
5	cakes
5	comes
5	jump
5	ease
5	hippety
5	hot
5	game
5	get
5	fussies
5	drawer
5	these
5	changed
5	boat
5	blankie
5	being
5	bench
5	balloon
4	while
4	twiddle
4	truck
4	terry
4	time
4	tired
4	sweets
4	soon
4	smoke
4	slipper
4	seat
4	cereal
4	sing
4	share
4	sock
4	remember
4	rain
4	round
4	poopsie
4	put
4	pointing
4	piece
4	pillow
4	party
4	noodle
4	need
4	making
4	matthew
4	light
4	crawl
4	keaton
4	coming
4	helps
4	haha
4	ground
4	granny
4	goes
4	goat
4	goldfish
4	fork
4	fun
4	farm
4	end
4	digger
4	daddy's
4	doll
4	children
4	because
4	baseball
4	birthday
4	bout
4	bunnies
4	buckets
4	bubbles
4	another
4	again
3	yogurt
3	weasel
3	wheels
3	windy
3	wave
3	work
3	word
3	where
3	wow
3	want
3	oopsa
3	tootsie
3	teeth
3	stinky
3	still
3	sticker
3	story
3	smell
3	slippery
3	shriveled
3	shirt
3	shorts
3	shut
3	sunny
3	somebody
3	sockie
3	rings
3	refrigerator
3	rug
3	problem
3	piano
3	pickles
3	purse
3	pop
3	new
3	nope
3	meow
3	messy
3	morning
3	magnets
3	lady
3	lamb
3	cleaning
3	claus
3	cover
3	jacks
3	easy
3	whole
3	his
3	hill
3	hurt
3	helping
3	hard
3	grass
3	gone
3	feetsies
3	finish
3	airplane
3	anymore
3	any
3	emmy's
3	drinking
3	drill
3	those
3	doors
3	does
3	dancing
3	dada
3	bracelet
3	boyser
3	blue
3	bert
3	belt
3	bite
3	balls
3	buttons
3	bugs
3	bud
3	boxes
3	unbuckle
3	about
3	awful
3	ah
2	yesterday
2	yummies
2	yum
2	window
2	willy
2	whale
2	wearing
2	well
2	wide
2	wallpaper
2	wall
2	walking
2	onesie
2	wash
2	trying
2	toe
2	timmer
2	thirsty
2	taste
2	tight
2	to
2	tummies
2	stroller
2	straight
2	stinkies
2	sticky
2	steps
2	standing
2	special
2	sneeze
2	sleeps
2	slippers
2	slip
2	squeaky
2	singing
2	shoulders
2	sheared
2	settle
2	set
2	supper
2	sun
2	sandwich
2	wreath
2	rice
2	wrong
2	pretzel
2	plate
2	plane
2	peas
2	pictures
2	pig
2	papers
2	paper
2	purr
2	poppy
2	nowhere
2	neigh
2	night
2	mean
2	mirror
2	mulberry
2	magnet
2	mockingbird
2	late
2	left
2	like
2	loud
2	long
2	lovings
2	lap
2	cool
2	clothes
2	kleenex
2	clippers
2	clapping
2	key
2	kids
2	cannot
2	cord
2	candle
2	can
2	cars
2	cough
2	itchy
2	hedgehog
2	hallway
2	having
2	handle
2	ham
2	goodness
2	grocery
2	glass
2	guy
2	frustrated
2	front
2	fits
2	favor
2	falling
2	fall
2	fussy
2	funny
2	ernie
2	air
2	elmo's
2	dryer
2	dropped
2	don't
2	d
2	though
2	didey
2	duckie
2	chewing
2	chew
2	cheerios
2	chilly
2	change
2	bush
2	broke
2	boys
2	beads
2	bicycle
2	bounces
2	bounce
2	but
2	bucket
2	bandana
2	bad
2	bottom
2	apple
1	use
1	yourself
1	yucks
1	would
1	whales
1	when
1	wiping
