	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'oy',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0
(u'ae',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0549	0	0	0	0	0.04575	0	0.0183	0.02745	0.0	0	0	0.0915	0.1647	0.13725	0	0.0133540540541	0	0	0	0.06588	1	0	0
(u'ah',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1464	0	0	0	0	0	0.0813333333333	0	0.0532363636364	0.167314285714	0.0	0	0	0.1464	0	0.0915	0	0.0732	0	0	0	0.2928	1	0	0.0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00915	0	0	0	0	0	0.04575	0.0133090909091	0	0	0	0	0	0	0.001525	0	0	0	0	0	0	0	0	0	0.0
(u'aw',)	0	0	0	0	0	0	0.1098	0	0	0.0549	0	0	0.0	0	0	0	0	0	0	0	0.0915	0	0.0732	0.0732	0	0	0	0	0	0	0	0.0235285714286	0.0	0	0	0	0.39345	0	0
(u'ax',)	0	0	0	0	0	0	0	0.02196	0	0.03294	0.35685	0.0	0	0	0.02745	0.0149727272727	0.2928	0	0	0	0.0305	0.013725	0.1098	0.0337846153846	0.0	0.9333	0	0.0392142857143	0.1647	0.0211153846154	0	0.0449181818182	0	0	0	0	1	0	0.0
(u'ay',)	0	0.0366	0	0	0	0.0	0.0549	0	0	0.0549	0	0	0	0	0	0.0183	0.0976	0	0	0	0.04575	0.0366	0.0366	0.0122	0	0	0	0.0915	0	0.0915	0	0.0126692307692	0.0	0	0	0	0.39345	0	0
(u'b',)	0.0	0.0	0.0	0	0.0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0	0	0.0	0	0.0	0.0	0.2745	0	0	0	0	0.0	0.0	0.0	0	0.04575	1	0.0915	0.0	0	0	0.366	0.366	0.732	0	0.5185	0	0	0.2745	0.4575	0.6405	0	0	0	0.0	0	0.65575	1	0.0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0.0	0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0
(u'er',)	0	0	0	0	0	0	0	0.02745	0	0.0156857142857	0.2379	0	0	0	0	0.1098	0.5856	0	0	0	0	0.0732	0	0	0	0	0	0	0	0.0915	0	0.3294	0.0	0	0	0	0	0.6222	0.0
(u'ey',)	0.2562	0	0	0	0	0.0	0	0.2562	0	0.19215	1	0	0	0	0	0	1	0	0.0	0	0.10675	0.3416	0	1	0	0	0	0.6405	0	0.2135	0	0	0	0	0	0.3843	1	1	0.0
(u'f',)	0	0	0	0.0140769230769	0.0	0	0.0732	0	0	0	0	0	0	0.0	0	0	0	0.2196	0	0	0	0.2928	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0.5246	0	0
(u'g',)	0.0	0	0	0	0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0.0	0	0	0	0	0
(u'hh',)	0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0	0	0	0
(u'ih',)	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0	0	0	0.0	0.0	0	0.0	0.0	0	0	0	0.0	0	0	0.0	0	0	0	0.0	0	0	0.0
(u'iy',)	0.3416	1	0	1	0.0	0.0	1	0.7686	0	0.30744	1	0	0	0	0.2562	0.15372	1	0.7686	0	0	0.6405	1	0	0.81984	0	0	0	0.232909090909	0	0.427	0	1	0.0	0	0	0.61488	1	1	0.0
(u'jh',)	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
