#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
snappie	.sn&pi -w
snapping	.sn&pIN -w
snaps          .sn&ps -w
snatch	.sn&c -w
snatched	.sn&tct -w
sneak	.snIk -w
sneaks	.snIks -w
sneakers       .snikRz -w
sneaking	.snIkIN -w
sneaky	.snIki -w
sneeze          .sniz -w
sneezed	.snizd -w
sneezes .snizEs -w
sneezing	.snizIN -w
sniff	.snIf -w
snip	.snIp -w
snipped   .snIpt -w
snipper   .snIpR -w
snippers	.snIpRz -w
snippy	.snIpi -w
snoops	.snups -w
snooze	.snuz -w
snoring	.sn%IN -w
snort	.sn%t -w
snorting       .sn%tIN -w
snot	.snat -w
snotty	.snati -w
snow           .sno -w
snow's	.snoz -w
snowballs	.snobOlz -w
snowblower     .snobloR -w
snowed         .snod -w
snowflakes	.snofleks -w
snowing        .snoIN -w
snowman        .snom&n -w
snowman's 	.snom~z -w
snowmen	.snomEn -w
snows          .snoz -w
snowsuit	.snosut -w
snowy	.snowi -w
snuck	.snAk -w
snuff	.snAf -w
snuffy	.snAfi -w
snug	.snAg -w
snuggle	.snAgL -w
snuggled   .snAgLd -w
snuggly	.snAgli -w
so             .so -w
so@si	.so -w
soak	.sok -w
soaked	.sokt -w
soaking	.sokIN -w
soaky	.soki -w
soap	.sop -w
soappies	.sopiz -w
soapy	.sopi -w
soccer	.sakR -w
social       .soSL -w
society	.s6s96ti -w
sock           .sak -w
sockie	.saki -w
sockies	.sakiz -w
socks          .saks -w
socksies   .saksiz -w
soda	.sod6 -w
sodas   .sod6z -w
sodium          .sodi6m -w
sofa	.sof6 -w
soft           .sOft -w
softball	.sOftbOl -w
softest	.sOft6st -w
softly	.sOftli -w
software       .sOftw* -w
soggy	.sagi -w
soiled	.s7Ld -w
sold	.sold -w
soldier	.solGR -w
soldiers   .solGRz -w
solid	.salId -w
solidified	.s6lId6f9d -w
solomon	.sal6m~ -w
some           .s6m -w
somebody       .sAmbadi -w
somebody's	.sAmbadiz -w
someday	.sAmde -w
somehow	.sAmhQ -w
someone        .sAmwAn -w
someone's      .sAmwAnz -w
someones      .sAmwAnz -w
someplace	.sAmples -w
somersault      .sAmRsOlt -w
somersaults	.sAmRsOlts -w
something      .sAmTIN -w
something's    .sAmTINz -w
sometime       .sAmt9m -w
sometimes      .sAmt9mz -w
somewhat	.sAmwAt -w
somewhere      .sAmW* -w
son                .sAn -w
son's                .sAnz -w
song           .sON -w
songlike   .SONl9k -w
songs          .sONz -w
sonic	.sanIk
sonny	.sAni -w
sonogram	.san6gr&m -w 
sons              .sAnz -w
soon           .sun -w
sooner         .sunR -w
sophie	.sofi -w
sophisticated  .s6fIstIketId -w
sophomore	.sof6m% -w
sopped	.sapt -w
sorcerer	.s%cIRR -w 
sore	.s%
sorry          .s%i -w
sort           .s%t -w
sorted	.s%t6d -w
sorter	.s%tR -w
sorts          .s%ts -w
sound          .sQnd -w
sounded        .sQndId -w
sounding       .sQndIN -w
sounds         .sQndz -w
soup           .sup -w
soups	.sUps -w
soupy 	.sUpi -w
sour             .sQR -w
source	.s%s -w
south           .sQT -w
southern           .sADn -w
soy           .sOy -w
space          .spes -w
spaceship	.speSIp -w
spaghetti	.sp6gEti -w
spaghettio	.sp6gEtio -w
spaghettios	.sp6gEtioz -w
span	.sp&n -w
spanish	.sp&nIS -w
spank          .sp&Nk -w
spanked        .sp&Nkt -w
spare	.sp* -w
sparkle	.sp#kL -w
sparkly	.sp#kli -w
sparky	.sp#ki -w
sparrow	.sp*o -w
speak          .spik -w
speaker	.spikR -w
speaking       .spikIN -w
speaks         .spiks -w
special	.spESL -w
specific       .spIsIfIk -w
specks	.spEks -w
specter	.spEktR -w
spectrum	.spEktrM -w
speed	.spid -w
speeds	.spidz -w
speedy         .spidi -w
spell	.spEl -w
spells	.spElz -w
spelling	.spElIN -w
spend          .spEnd -w
spended       .spEnd6d -w
spends         .spEndz -w
spent	.spEnt -w	
sphere	.sf( -w
spice	.sp9s -w
spices	.sp9s6z -w
spicey	.sp9si -w
spider	.sp9dR -w
spiders	.sp9dRz -w
spike	.sp9k -w 
spill              .spIl -w
spilled           .spIld -w
spilling            .spIlIN -w
spills         .spIlz -w
spin	.spIn -w
spinach	.spInIc -w
spines	.sp9nz -w
spinning	.spInIN -w
spins	.spInz -w
spirit             .sp(It -w
spiritual             .sp(IcuL -w
spit           .spIt -w
spits           .spIts -w
spitting      .spItIN -w
splash	.spl&S -w
splashasplashasplasha	.spl&S6 -w .spl&S6 -w .spl&S6
splashed	.spl&St -w
splashie	.spl&Si -w
splashing	.spl&SIN -w
splat	.spl&t -w
splendid	.splEndId -w
splendor	.splEdR -w
splishiesplashie	.splISi -w .spl&Si -w
splishsplash	.splIS -w .spl&S -w	
splishysplashy	.splISi -w .spl&Si -w
split	.splIt -w
splitsplacksplash .splIt -w .spl&k -w .spl&S -w
spoil 	.sp7L -w
spoiled	.sp7ld -w
spoke	.spok -w
sponge	.spAnG -w
sponges	.spAnG6z -w
spontaneously  .spanteni6s -w
spool	.spul -w
spools         .spulz -w
spoon          .spun -w
spoonful	.spunfL -w
spoonfuls	.spunfLz -w
spoons         .spunz -w
sport	.sp%t -w
sports	.sp%ts -w
spot	.spat -w
spot's	.spats -w
spots	.spats -w
spotty	.spati -w
spout	.spQt -w
sprat	.spr&t -w
spray	.spre -w
spraying	.spreIN -w
spread	.sprEd -w
spreads	.sprEdz -w
spring         .sprIN -w
springs	.sprINz -w
springtime	.sprINt9m -w
sprinkler	.srINkLR -w
sprint	.sprInt -w	
spruce	.sprus -w
spud           .spAd -w
spunky	.spAnki -w
spy	.sp9 -w
spying  .sp9IN -w
square         .skw* -w
squares	.skw*z -w
squarular	.skw*y6lR -w
squash        .skwOS -w
squashed	.skwOSt -w
squashie       .skwOSi -w
squashies      .skwOSiz -w
squawky	.skwOki -w
squeak         .skwik -w
squeaked	.skwikt -w
squeaker	.skwikR -w
squeaking	.skwikIN -w
squeaks	.skwiks -w
squeaky	.skwiki -w
squeal	.skwil -w
squealed	.skwild -w
squeeze         .skwiz -w
squeezed       .skwizd -w
squeezes      .skwiz6z -w
squeezing      .skwizIN -w
squid	.skwId -w
squinting  .skwIntIN -w
squirm	.skw3m -w
squirming	.skw3mIN -w
squirmy	.skw3mi -w
squirrel       .skw3L -w
squirrellie	.skw3Li -w
squirrellies	.skw3Liz -w
squirrels      .skw3Lz -w
squirt	.skw3t -w
squirted	.skw3t6d -w
squirting	.skw3tIN -w
squish	.skwIS -w
squished	.skwISt -w
squishing	.skwISIN -w
squishy	.skwISi -w
ssh             .S -w
stable   .stebL -w
stack          .st&k -w
stacked        .st&kt -w
stacking       .st&kIN -w
stacks         .st&ks -w
stage          .steG -w
stages         .steGIz -w
stain	.sten -w
stair	.st*z -w
stairs          .st*z -w
stale	.stel -w
stale	.stel -w
stalking	.stOkIN -w
stall	.stOl -w
stamp	.st&mp -w
stance	.st&nts -w
stand          .st&nd -w
standard          .st&nd#d -w
standing       .st&ndIN -w
standpoint	.st&ndp7nt -w
stands	.st&ndz -w
staples	.stepLz -w
star           .st# -w
starch	.st#c -w
stare	.st* -w
starfish	.st#fIS -w
staring	.st*IN -w
stars          .st#z -w
start          .st#t -w
started        .st#tId -w
starting       .st#tIN -w
startle	.st#tL -w
startled	.st#tLd -w
starts         .st#ts -w
starve          .st#v -w
starved        .st#vd -w
starves          .st#vz -w
starving        .st#vIN -w
stash	.st&S -w
state       .stet -w
states       .stets -w
static	.st&tIk -w
staticing@n  .st&tIkIN -w
staticky	.st&tIki -w
staticling@n	.st&tIk -w .klIN -w
statistic	.st6tIstIk -w
station	.steS~ -w
statue	.st&cu -w
stay           .ste -w
stayed	.sted -w
staying	.steIN -w
stays          .stez -w
steadfast	.stEdf&st -w
steadier	.stEdiR -w
steady	.stEdi -w
steak          .stek -w
steak's        .steks -w
steal            .stil -w
stealing       .stilIN -w
steals          .stilz -w
steam          .stim -w
steamed	.stImd -w
steep	.stIp -w
steer          .st( -w
steering	.st(IN -w
stegosaurus    .stEg6s%6s -w
stella	.stEl6 -w
stem	.stEm -w
step	.stEp -w
stephanie	.stEf6ni -w
stepped	.stEpt -w
stepping	.stEpIN -w
steps           .stEps -w
stereo	.st*io -w
stereos        .st*ioz -w
steve           .stiv -w
steven	.stiv~ -w
stew	.stu -w
stick          .stIk -w
sticker	.stIkR -w
stickers  .stIkRz -w
stickie  .stIki -w
stickies	.stIkiz -w
sticking       .stIkIN -w
stickle   .stIkL -w
stickleback	.stIkLb&k -w
sticks         .stIks -w
sticky	.stIki -w
stikle	.stIkL -w
stile	.st9L -w
still          .stIl -w
stimulated	.stImyulet6d -w
sting	.stIN -w
stingy	.stInGi -w
stink         .stINk -w
stinkaroosies	.stINk6ruziz -w
stinker	.stINkR -w
stinkier	.stINkiR -w
stinkies	.stINkiz -w
stinkiest	.stINki6st -w
stinking	.stINkIN -w
stinkpot      .stINkpat -w
stinks	.stINks -w
stinky      .stINki -w
stir	.st3 -w
stirring	.st3IN -w
stitches	.stIc6z -w
stock          .stak -w
stocking	.stOkIN -w
stole	.stol -w
stomach        .stAm6k -w
stomachache	.stAm6kek -w
stomp	.stamp -w
stomped	.stampt -w
stomping	.stampIN -w
stoneham       .stonM -w
stones	.stonz -w
stood          .stUd -w
stool	.stul -w
stop           .stap -w
stopped        .stapt -w
stopper	.stapR -w
stopping	.stapIN -w
stops	.staps -w
store          .st% -w
stores         .st%z -w
stories        .st%iz -w
storm          .st%m -w
stormy	.st#mi -w
story          .st%i -w
storybook	.st#ibUk -w
stout	.stQt -w
stove          .stov -w
straight       .stret -w
straighten	.stret6n -w
straightened	.stret6nd -w
straightens	.stret6nz -w
straining	.strenIN -w
strange        .strenG -w
stranger	.strenGR -w
strap          .str&p -w
strapped     .str&pt -w
straps         .str&ps -w
straw	.strO -w
strawberries   .strOb*iz -w
strawberry     .strOb*i -w
streaks	.strIks -w
stream	.strIm -w
street         .strit -w
streetlight     .stritl9t -w
streetlights    .stritl9ts -w
streets        .strits -w
strength	.strENT -w
strengthening	.strENT6nIN -w
stress           .strEs -w
stressed        .strEst -w
stretch	.strEc -w
stretches	.strEc6z -w
stretching	.strEcIN -w
strike	.str9k -w
string	.strIN -w
stringing	.strININ -w
strings        .strINz -w
strip 	.strIp -w
stripe	.str9p -w
striped        .str9pt -w
stripes	.str9ps -w
stroke	.strok -w
stroll	.strol -w
stroller       .strolR -w
strong          .stON -w
stronger       .strONR -w
struck	.strAk -w
structure      .strAkcR -w
struggle       .strAgL -w
struggled	.strAgLd -w
strum	.strAm -w
stubborn	.stAb3n -w
stuck          .stAk -w
student          .stjUd6nt -w
students          .stjUd6nts -w
studies       .stAdiz -w
studio	.studio -w
study           .stAdi -w
studying	.stAdiIN -w
stuff          .stAf -w
stuffed        .stAft -w
stuffy	.stAfi -w
stung	.stAN -w
stupid         .stupId -w
sturdy	.st3di -w
stutter	.stAtR -w
style             .st9l -w
styling	.st9lIN -w
stylish	.st9lIS -w
styrofoam	.st9r6fom -w
sub	.sAb -w
subject        .sAbGIkt -w
substitute	.sAbstItut -w
substituted    .sAbstItutId -w
succeed	.sAksid -w		
successful     .s6ksEsfL -w
successfully	.sAksEsfLi -w
such           .sAc -w
suchi          .suci -w
suck              .sAk -w
sucked           .sAkt -w
sucker	.sAkR -w
sucking        .sAkIN -w
sucks          .sAks -w
suction	.sAkS~ -w
sudden         .sAd~ -w
suddenly       .sAd~li -w
suds	.sAdz -w
sudsies	.sAdsiz -w
sudsy	.sAdsi -w
sue            .su -w
sued           .sud -w
sues           .suz -w
sugar          .SUgR -w
sugarpie	.SUgRp9 -w
suggest	.s6GEst -w
suggestion     .s6gGEsc~ -w
suing         .suIN -w
suit           .sut -w
suitcase	.sutkes -w
suits          .suts -w
sultan  .sAlt~ -w
sultan's	.sAlt~z -w
sultans	.sAlt~z -w
sultans's  .sAlt~z6z -w
summer         .sAmR -w
summer's	.sAmRz -w
summers        .sAmRz -w
summertime	.sAmRt9m -w
summoned	.sAm~d -w
sumpin	.sAmpIn -w
sun            .sAn -w
sun's	.sAnz -w
sunblock	.sAnblOk -w
sunburn	.sAnb3n -w
sunday	.sAnde -w
sunflower      .sAnflQR -w
sunflowers	.sAnflQRz -w
sunglasses	.sAngl&sIz -w
sunny	.sAni -w
sunscreen	.sAnskrin -w
sunscreens	.sAnskrInz -w
sunshine	.sAnS9n -w
suntan	.sAnt&n -w
super          .supR -w
superman	.supRm&n -w
supper         .sApR -w
supper's	.sApRz -w
supplement	.sApl6m~t -w
supplies	.sApl9z -w
supply         .s6pl9 -w
support         .s6p%t -w
suppose	.sApoz -w
supposed       .s6pozd -w
sure           .S3 -w
surely	.s3li -w
surface        .s3fIs -w
surprise	.s3pr9z -w
surprised      .sRpr9zd -w
surprising	.s3pr9zIN -w
surrounded	.s3Qnd6d -w
survey	.s3ve -w
survive	.s3v9v -w
survivor	.s3v9vR -w
susan	.suz~ -w
susie          .suzi -w
suspender	.sAspEndR -w
suspenders     .s6spEndR -w
suspicious	.sAspIS6s -w
susy           .suzi -w
suzie          .suzi -w
suzy           .suzi -w
swallow       .swalo -w
swallowed    .swalod -w
swallowing    .swalowIN -w
swallows        .swaloz -w
swam	.sw&m -w
swan	.swan -w
swans	.swanz -w
swear	.sw* -w
swearie	.sw*i -w
sweat          .swEt -w
sweater        .swEtR -w
sweaters       .swEtRz -w
sweatpants    .swEtp&nts -w
sweatshirt	.swEtS3t -w
sweatshirts   .swEtS3ts -w
sweatsuit	.swEtsut -w
sweaty	.swEti -w
sweep	.swip -w
sweeped	.swipt -w
sweepie	.swipi -w
sweeping	.swipIN -w
sweeps	.swips -w	
sweet          .swit -w
sweeta	.swit6 -w
sweeterpeters	.switR -w .pitRz -w
sweeters	.switRz -w
sweeterspeters	.switRz -w .pitRz -w
sweetest	.swit6st -w
sweetheart     .swith#t -w
sweetie         .switi -w
sweetiepie	.switi -w .p9 -w
sweetiepies	.switi -w .p9z -w
sweeties	.switiz -w
sweetiest	.switiEst -w
sweetpea	.swit -w .pi -w
sweets	.swits -w
sweetsies	.switsiz -w
sweetum	.switAm -w
sweetums	.switAmz -w
swell	.swEl -w
swell	.swEl -w
swelling	.swElIN -w
swelling	.swElIN -w
swept	.swEpt -w
swim           .swIm -w
swimmer	.swImR -w
swimming       .swImIN -w
swimmingpool	.swImIN -w .pul -w
swims	.swImz -w
swimsuit	.swImsUt -w
swing          .swIN -w
swingie	.swINgi -w
swinging       .swININ -w
swings         .swINz -w
swish	.swIS -w
switch	.swIc -w
switched	.swIct -w
swollen	.swol~ -w
swoosh	.swUS -w
sydney's	.sIdniz -w
syllables	.sIl6bLz -w
sylvester	.sIlvEstR -w
symbiotic      .sImbiatIk -w
symphony        .sImf6ni -w
syndrome	.sIndrOm -w
synthesized	.sInT6s9zd -w
syrup	.s(Ap -w
system	.sIstM -w
systems	.sIstMz -w
t                .ti -w
t@l            .ti -w
ta             .ta -w
tab	.t&b -w
tabitha	.t&bIT6 -w
tabitha's	.t&bIT6z -w
table          .tebL -w
tablecloth	.tebLklaT -w
tablespoon	.tebLspun -w
tabs          .t&bz -w
tacos	.t&koz -w	
tad	.t&d -w
tadah	.t6da -w
tag	.t&g -w
tags	.t&gz -w	
tahoe	.t&ho -w	
tail           .tel -w
tail's	.tela -w
tails	.telz -w
take           .tek -w
taken          .tek~ -w
takes          .teks -w
taking         .tekIN -w
talk           .tOk -w
talkative      .tOk6tIv -w
talked         .tOkt -w
talker	.tOkR -w
talking        .tOkIN -w
talks          .tOks -w
tall           .tOl -w
taller	.tOLR -w
tallest	.tOlEst -w
tamara	.t6m#6 -w
tambourine	.t&mb3in -w
tan	.t&n -w
tangerine        .t&nGRin -w
tangerines        .t&nGRinz -w
tangled	.t&NgLd -w
tangling       .t&NglIN -w
tanish          .t&nIS -w
tank           .t&Nk -w
tantrum	.t&ntrAm -w
tantrums	.t&ntrAmz -w
tap           .t&p -w
tape           .tep -w
taped	.tept -w
tapemeasure	.tepmEs) -w
taperecorded	.teprEc%dEd -w
taperecording	.teprEc%dIN -w
tapes	.teps -w
taping	.tepIN -w	
tapioca          .t&piok6 -w
tapped      .t&pt -w
tapping     .t&pIN -w
taps            .t&ps -w
tar	.t# -w
target	.t#g6t -w
tart            .t&t -w
tarts           .t%ts -w
tarzan	.t#z~ -w
tasmanian	.t&zmeni~ -w
taste          .test -w
tasted	.test6d -w
tastes         .tests -w
tasting	.testIn -w
tasty          .testi -w
tata           .t&t& -w
tata's         .t&t&z -w
tata@q	.tOtO -w
taters	.tetRz -w
tattoo	.t&tu -w
tattoos	.t&tuz -w
taught         .tOt -w
tax	.t&ks -w
taxes	.t&ksIz -w
taxi	.t&ksi -w
taxis	.t&ksiz -w
tailor	.telR -w
taylor	.telR -w
taz	.t&z -w
tea            .ti -w
teach          .tic -w
teacher        .ticR -w
teacher's	.tIcRz -w
teachers	.tIcRz -w
teaching       .ticIN -w
team	.tim -w
teapot	.tipat -w
tear           .t( -w
tearing	.t*IN -w
tears          .t(z -w
teas           .tiz -w
teasing	.tizIN -w
teaspoon	.tispun -w
teaspoonfuls	.tispunfLz -w
technical	.tEknIkL -w
technically	.tEknIkli -w
teddies	.tEdiz -w
teddy         .tEdi -w
tee             .ti -w
teefers	.tifRz -w
teenager	.tineGR -w
teenie	.tini -w
teensie	.tinsi -w
teeny	.tini -w
teenyweeny	.tiniwini -w
teepy	.tipi -w
teeth          .tiT -w
teether	.tiTR -w
teethers	.tiTRz -w
teethie	.tiTi -w
teethies	.tiTiz -w
teething	.tiTIN -w
telemarketing	.tEl6m#kEtIN -w
telephone      .tEl6fon -w
telephone's    .tEl6fonz -w
telephones	.tEl6fonz -w
teletubbies     .tEl6tAbiz -w
teletubby        .tEl6tAbi -w
television     .tEl6vIZ~ -w
televisions    .tEl6vIZ~z -w
tell           .tEl -w
telling        .tElIN -w
tells          .tElz -w
telly	.tEli -w
temper	.tEmpR -w
temperature	.tEmpr6c) -w
tempt	.tEmpt -w
ten            .tEn -w
tend           .tEnd -w
tender        .tEndR -w
tenderness   .tEndRn6s -w
tending	.tEndIN -w
tennis         .tEnIs -w
tense	.tEnts -w
tent	.tEnt -w
tenth	.tEnT -w
tents          .tEnts -w
term           .t3m -w
terms          .t3mz -w
terri	.t*i -w
terri's	.t*iz -w
terrible       .t*6bL -w
terribly       .t*6bli -w
terrific	.t6rIfIk -w
terrorizing	.tEr39zIN -w
terry	.t*i -w
terry's	.t*iz -w
test           .tEst -w
tested         .tEstId -w
testing	.tEstIN -w 
than           .D&n -w
thank          .T&Nk -w
thanked	.T&Nkt -w
thanking	.T&NkIN -w
thanks	.T&Nks -w
thankyou	.T&Nkyu -w
that           .D&t -w
that'd	.D&t6d -w
that'll         .D&tL -w
thats         .D&ts -w
that's         .D&ts -w
thaw	.TO -w
the            .D6 -w
theater            .ti6tR -w
thee	.Di -w
theif	.TIf -w
their          .D* -w
theirs	.D*z -w	
them           .DEm -w
them's         .DEmz -w
themselves	.DEmsElvz -w
then           .DEn -w
theodore	.Ti6d%
there          .D* -w
there'll	.D*L -w
there's        .D*z -w
therefore	.D*f% -w
theresa	.t6ris6 -w
thermometer	.TRmam6tR -w	
these          .Diz -w
they           .De -w
they'd	.Ded -w
they'll          .Del -w
they're        .D* -w
they've        .Dev -w
thick          .TIk -w
thicker	.TIkR -w
thigh	.T9 -w
thighs	.T9z -w
thin           .TIn -w
thing          .TIN -w
thing's         .TINz -w
thingamajigger	.TIN6m6GIgR -w
thingie	.TINi -w
thingies	.TINiz -w
things         .TINz -w
think          .TINk -w
thinking       .TINkIN -w
thinks         .TINks -w
third          .T3d -w
thirst	.T3st -w
thirsty       .T3sti -w
thirteen	.T3tin -w
thirty         .T3rti -w
this           .DIs -w
thistle	.TIsL -w
thorn	.T%n -w
thornbushes	.T%nbUS6z -w
thorns	.T%nz -w
thorny	.T%ni -w
those          .Doz -w
though         .Do -w
thought        .TOt -w
thoughtful	.TOtfL -w
thousand	.TQz~d -w
thousands	.TQz~dz -w
thrash   .Tr&S -w
thrasher	.Tr&SR -w
thread         .TrEd -w
three          .Tri -w
threes         .Triz -w
threw          .Tru -w
throat         .Trot -w
throats	.Trots -w
through        .Tru -w
throughout	.TruQt -w
throw          .Tro -w
throwing       .TroIN -w
thrown         .Tron -w
throws         .Troz -w
thumb          .TAm -w
thumbprints	.TAmprInts -w	
thumbs         .TAmz -w
thumbtacks	.TAmt&ks -w
thumper	.TAmpR -w
thunder	.TAndR -w
thundered	.TAndRd -w
thursday       .T3zde -w
thy	.D9 -w
ti@si	.ti -w
tic	.tIk -w
tick	.tIk -w
ticket          .tIkIt -w
tickets       .tIkIts -w
tickie	.tIki -w
tickle         .tIkL -w
tickled       .tIkLd -w
tickler	.tIkLR -w
tickles        .tIkLz -w
tickletickle	.tIkL -w .tIkL -w
ticklie	.tIkli -w
tickling       .tIkLIN -w
ticklish	.tIklIS -w
tickly	.tIkli -w
ticks          .tIks -w
tictactoe	.tIk -w .t&k -w .to -w
tiddywinkle	.tIdi -w .wINkL -w 
tide	.t9d -w
tidy	.t9di -w
tie            .t9 -w
tied           .t9d -w
ties           .t9z -w
tiger          .t9gR -w
tigers         .t9gRz -w
tigger	.tIgR -w
tiggers	.tIgRz -w
tiggywinkle	.tIgi -w .wINkL -w
tight          .t9t -w
tighter	.t9tR -w
tightly	.t9tli -w
tights	.t9ts -w
til	.tIl -w
tile	.t9L -w
till	.tIl -w
tilt	.tIlt -w
tilted 	.tIlt6d -w
tim	.tIm -w	
timber	.tImbR -w
timberland	.tImbRl&nd -w
timbers	.tImbRz -w
time           .t9m -w
timer	.t9mR -w
times          .t9mz -w
timing	.t9mIN -w
timmer	.tImR -w
timmonium 	.tImoniAm -w
timmy	.tImi -w
timmy's	.tImiz -w
timone	.tImon -w
timothy	.tIm6Ti -w
tims	.tImz -w
tin	.tIn -w
tiniest	.t9niEst -w
tinkerbell	.tINkRbEl -w
tinkle          .tINKL -w
tinky	.tINki -w
tinkywink    .tINki -w .wINk -w
tinkywinky   .tINki -w .wINki -w
tiny	.t9ni -w
tip	.tIp -w
tipietoe	.tIpito -w
tipietoes	.tIpitoz -w
tipped	.tIpt -w
tippietoe	.tIpito -w
tippietoes	.tIpitoz -w
tipping	.tIpIN -w
tippy	.tipi -w
tippy's	.tipiz -w
tips	.tIps -w
tiptoe	.tIpto -w
tiptoed	.tIptod -w
tiptoes	.tIptoz -w
tire	.t9R -w
tired          .t9Rd -w
tires	.t9Rz -w
tiring	.t9RIN -w
tissue	.tISu -w
tissues        .tISuz -w
to             .tu -w
toandfro	.tu -w .&nd -w .fro -w
toast          .tost -w
toasted	.tost6d -w
toaster	.tostR -w
toastest	.tostEst -w
toasty	.tosti -w
tock	.tOk -w
today          .t6de -w
today's        .t6dez -w
toddler	.tOdlR -w
toe            .to -w
toe's	.toz -w
toenail	.tonel -w
toenails	.tonelz -w
toes           .toz -w
toesie	.tozi -w
toesies	.toziz -w
tofu	.tofu -w
together       .t6gEDR -w
toilet            .t7l6t -w
tokyo	.tokio -w
told           .told -w
tom	.tam -w
tom's	.tamz -w 
tomato	.t6meto -w
tomatos	.t6metoz -w
tomboy	.tOmb7 -w
tomcat	.tOmk&t -w
tommy      .tami -w
tomorrow       .t6m#o -w
tomorrow's	.t6m#o -w 
ton            .tAn -w
tonga          .taNg6 -w
tongue         .tAN -w
tongue's       .tANz -w
tonight        .t6n9t -w
tonka	.taNk6 -w
tonka's            .taNk6z -w
tons           .tAnz -w
tonya	.tany6 -w
too            .tu -w
took           .tUk -w
tool	.tul -w
toolbox	.tulbaks -w
tools	.tulz -w
toolshed	.tulshEd -w
toot	.tut -w
tootaloo	.tut6lu -w
tooth	.tuT -w
toothbrush	.tuTbrAS -w
toothbrushes	.tuTbrAS6z -w
toothie	.tuTi -w
toothies	.tuTiz -w
toothless	.tuTl6s -w
tooting	.tutIN -w
tootleloo	.tutLu -w
toots	.tuts -w
tootsie	.tUtsi -w
tootsies	.tUtsiz -w
top            .tap -w
topic	.tapIk -w
toppings	.tapINz -w
tops 	.taps -w
tore	.t% -w
torn   .t%n -w
tortoise	.t%t6s 
torturing	.t%c)IN -w
tory	.t%i -w
toss	.tas -w
tossed	.tast -w
tosses	.tas6z -w
totally        .totLi -w
totem	.totM -w
toucan	.tuk&n -w
touch          .tAc -w
touchdowns	.tAcdQnz -w
touched	.tAct -w
touches	.tAc6z -w
touchie	.tAci -w
touching       .tAcIN -w
touchy	.tAci -w
tough	.tAf -w
toughie	.tAfi -w
tow	.to -w
toward	.t6w#d -w
towards        .t%dz -w
towel          .tQl -w
towels	.tQlz -w
tower          .tQR -w
towers         .tQRz -w
town	.tQn -w
toy            .t7 -w
toy'll	.t7L -w
toybox	.t7baks -w
toys           .t7z -w
track	.tr&k -w
tracks         .tr&ks -w
tractor	.tr&ktR -w
trade   .tred -w
traditional	.tr6dIS~L -w
traffic         .tr&fIk -w
trailed	.treLd -w
trails	.treLz -w
train          .tren -w
trained	.trend -w
training	.trenIN -w
trains         .trenz -w
translate	.tr&nslet -w
transmitter	.tr&nsmItR -w
trapeze	.tr6piz -w
trapped	.tr&pt -w
trash           .trAS -w
trashed       .trASt -w
trashes       .trAS6z -w
trashing     .trASIN -w
traumatizing	.trOm6t9zIN -w
travel	.tr&vL -w
traveler	.tr&vLR -w
traveling	.tr&vLIN -w
travels	.tr&vLz -w
tray           .tre -w
treat           .trit -w
treatment	.tritm~t -w
treats           .trits -w
tree           .tri -w
trees	.triz -w
treetop	.tritap -w
trevor           .trEvR -w
triangle      .tr9eNgL -w
triangles	.tr9&NgLz -w
triangular	.tr9&ngy6lR -w
trick          .trIk -w
tricked	.trIkt -w
tricks	.trIks -w
tricky         .trIki -w
tricycle       .tr9sIkL -w
tried          .tr9d -w
tries          .tr9z -w
trike          .tr9k -w
trim	.trIm -w
trip           .trIp -w
triple       .trIpL -w
tripled       .trIpLd -w
tripod	.tr9pad -w
tripped   .trIpt -w
tripping       .trIpIN -w
trombone	.trambon -w
troop	.trup -w
trouble        .trAbL -w
trough	.trOf -w
trousers	.trQsRz -w
trout	.trQt -w
truck          .trAk -w
truckie	.trAki -w
trucks         .trAks -w
true           .tru -w
truly	.truli -w
trunk          .trANk -w
trunks	.trANks -w
trust	.trAst -w
truth	.truT -w
truthfully     .truTf6li -w
try            .tr9 -w
trying         .tr9IN -w
trys	.tr9z -w
tub            .tAb -w
tubbie	.tAbi -w
tube            .tub -w
tubes           .tubz -w
tubing        .tubIN -w
tuck	.tAk -w
tucked	.tAkt -w
tucker	.tAkR -w
tuesday	.tuzde -w
tuffet	.tAf6t -w
tug            .tAg -w
tugged   .tAgd -w
tugging	.tAgIN -w
tulip          .tulIp -w
tulips         .tulIps -w
tumble         .tAmbL -w
tumbled        .tAmbLd -w
tumbles	.tAmbLz -w
tumbling	.tAmbLIN -w
tummies	.tAmiz -w
tummy          .tAmi -w
tumtum	.tAmtAm -w
tuna             .tun6 -w
tune            .tun -w
tunes          .tunz -w
tunnel	.tAnL -w
tupperware	.tApRw* -w
turkey            .t3ki -w
turkey's          .t3kiz -w
turkeys	.t3kiz -w
turkies           .t3kiz -w
turn           .t3n -w
turnaround	.t3n6rQnd -w
turned         .t3nd -w
turning       .t3nIN -w
turns          .t3nz -w
turtle         .t3tL -w
turtle's       .t3tLz -w
turtleneck	.t3tLnEk -w
turtles	.t3tLz -w
tush	.tUS -w
tutti	.tuti -w
tuttletuttle	.tAtL -w .tAtL -w
tutu	.tutu -w
tuv@k        .ti -w .yu -w .vi -w
tv             .tivi -w
tweaks	.twiks -w
tweedle	.twidL -w
tweedlebug	.twidLbAg -w
tweedledee	.twidLdi -w
tweedledum	.twidLdAm -w
tweet	.twit -w
