	(u'aa',)	(u'ae',)	(u'ah',)	(u'ao',)	(u'aw',)	(u'ax',)	(u'ay',)	(u'b',)	(u'ch',)	(u'd',)	(u'dh',)	(u'eh',)	(u'er',)	(u'ey',)	(u'f',)	(u'g',)	(u'hh',)	(u'ih',)	(u'iy',)	(u'jh',)	(u'k',)	(u'l',)	(u'm',)	(u'n',)	(u'ng',)	(u'ow',)	(u'p',)	(u'r',)	(u's',)	(u'sh',)	(u't',)	(u'th',)	(u'uh',)	(u'uw',)	(u'v',)	(u'w',)	(u'y',)	(u'z',)	(u'zh',)
(u'aa',)	0	0	0	0	0	0	0	0.0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0.0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0	0.0	0
(u'ae',)	0	0	0	0	0	0	0	0.0284	0.0	0.1704	0	0	0	0	0.0	0.1136	0	0	0	0	0.00568	1	0.284	0.0129090909091	0.0	0	0.4544	0	0.1704	0.2272	0.00831219512195	0	0	0	0.0	1	1	0.0	0
(u'ah',)	0	0	0	0	0	0	0	0.0142	0.0	0	0.5396	0	0	0	0	0.0142	0	0.1704	0	0	0	0	0.00788888888889	0.0129090909091	0.0	0	0.00493913043478	0	0.0426	0	0.00568	0	0	0	0.0	0	0	0.0	0
(u'ao',)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.0	0.0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0.0	0
(u'aw',)	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.852	0	0.0473333333333	0	0	0	0	0	0	0.05112	0	0	0	0	0	0	0	0
(u'ax',)	0.0	0.355	0	0	0	0.426	0	0.00788888888889	0	0.0774545454545	0.5396	0.236666666667	0	0	0.0	0.0236666666667	0.071	0	0.0	0.0568	0.008875	0.0295833333333	0.0355	0.0322727272727	0.0	0	0.0473333333333	0.071	0.0370434782609	0.284	0.0327692307692	0.426	0	0	0	0.223142857143	0	0.0	0
(u'ay',)	0	0	0	0.0568	0	0.0243428571429	0	0.0284	0.0	0.0200470588235	0	0	0.0	0	0.0	0.0142	0.284	0	0	0	0.00811428571429	0.189333333333	0.0189333333333	0.0405714285714	0	0	0.0252444444444	0.1136	0.3408	0	0.0154909090909	0.0131076923077	0	0.0568	0.0	0.6248	0.9088	0	0
(u'b',)	0	0.284	0.0	0	0.0284	0.00852	0.416533333333	0	0	0	1	0.284	0.0	0.0568	0	0	0	0.0486857142857	0.0	0	0	0.284	0	0	0	0	0	0.0378666666667	0	0	0	0	0.0	0	0	0	0	0	0
(u'ch',)	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0
(u'd',)	0.0	0.3124	0.0	0.3124	0.104133333333	0.18744	0.981828571429	0.0446285714286	0.0	0.3124	0.456584615385	0	0	0.18744	0.0	0	1	0.144184615385	0.0	0.6248	0.3124	1	0	0.520666666667	0	0.3124	1	0.12496	0.3124	0.6248	0.3124	0.3124	0	0.0164421052632	0	0.8591	1	0.0	0
(u'dh',)	0	0.0	0	0	0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0	0	0	0.0	0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0.0	0	0
(u'eh',)	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0	0	0.0	0.0
